scope	asset	action	terms
RC3	Figure3A decorative image / complete figure binaries / original CODEX and H&E	EXCLUDED_OR_PUBLIC_SOURCE_LINK_ONLY	Original source terms unchanged
RC3	Manuscript-facing numerical derivatives	INCLUDED_WITH_IDENTIFIERS_REMOVED_OR_NEUTRALIZED	Author-generated derived results; MIT does not relicense original data
