state_order	released_state	alpha_s	mean_p_cell_R	mean_p_cell_NR	mean_p_clone_R	mean_p_clone_NR	CELL_WEIGHTED_STATE_CONTRIBUTION	CLONE_EQUAL_STATE_CONTRIBUTION	CLONE_SIZE_STATE_CONTRIBUTION
1	CD4_C01_CCR7	-0.20898372786236144	0.22644883891568768	0.32575983157980065	0.31372917101157777	0.3551445599794208	0.02075438146465796	0.008655142377369553	0.012099239087288407
2	CD4_C02_IL7R	-0.1870762355423398	0.1262283636492429	0.09432629497313187	0.17150135619723822	0.1075251538829649	-0.005968118913940046	-0.01196842709324938	0.006000308179309335
3	CD4_C03_CD44	-0.18514253510983647	0.05128601840217153	0.0653124847619102	0.07691152482803738	0.06686367647460563	0.002596895540474858	-0.0018602841165535511	0.0044571796570284095
4	CD4_C04_GZMK	-0.07461261928916225	0.015302246743689641	0.09578430543390863	0.02218700714793749	0.1054442229253829	0.006004977204661322	0.006212038943878167	-0.00020706173921684543
5	CD4_C05_GNLY	0.12792127506270812	0.00890384032575707	0.009954063053505399	0.00586326888158765	0.0030237499211357346	-0.00013434583043340156	0.00036323488598574444	-0.000497580716419146
6	CD4_C06_CXCL13	0.06607369722155092	0.000372029825997048	0.0009480900963790374	0.00045290881108699625	0.001044285461743662	-3.806243188658432e-05	-3.907444175938342e-05	1.012009872799101e-06
7	CD4_C07_CTLA4	0.11402500077824704	0.0	0.0012388131859272131	0.0	0.001320551480138616	-0.00014125567448945318	-0.00015057588355052098	9.3202090610678e-06
8	CD4_C08_FOXP3	-0.06635268006883475	0.050072839259092956	0.036428139687117486	0.06718422421194643	0.03878315274568271	-0.0009053623853346549	-0.0018844872086131084	0.0009791248232784535
9	CD4_C09_MKI67	0.027751268055284606	0.0010980007864351163	0.0018056462133669282	0.001996127065379631	0.0018680052086683418	-1.963805793088103e-05	3.555543989335748e-06	-2.3193601920216777e-05
10	CD8_C01_LEF1	-0.22488791205789038	0.15844987176342368	0.21104519514296669	0.1975435500564357	0.22348012524075112	0.011828052458834974	0.005832822239133187	0.005995230219701787
11	CD8_C02_GPR183	-0.10633858517036493	0.010524822836368648	0.019277524053959685	0.011686381481691184	0.019713235573821243	0.0009307498638975614	0.0008535643075260645	7.718555637149685e-05
12	CD8_C03_CX3CR1	0.1944080190047904	0.24899484604387556	0.05383655643747822	0.050690565799753506	0.014357635888273088	0.03794033647474288	0.007063412928730803	0.03087692354601208
13	CD8_C04_GIMAP4	0.07862196308255516	0.024497468126730072	0.010303470945757181	0.018061790214983022	0.00472395480296699	0.0011159599223563427	0.0010486468033647214	6.73131189916213e-05
14	CD8_C05_CCR7	-0.1833051680900682	0.006369257733452361	0.011298818188675256	0.008183676809267291	0.011895603199626001	0.0009036139078547859	0.0006804152909226633	0.00022319861693212255
15	CD8_C06_IKZF2	0.183893097760076	0.02686600314352708	0.014767185573765974	0.0032477762682320086	0.001176081431863218	0.002224889042137404	0.00038097038107341073	0.0018439186610639934
16	CD8_C07_KIR2DL4	-0.07243566969500344	0.00010808473843493298	0.0006194065929636066	4.8393341076267905e-05	0.000660275740069308	3.70379409624756e-05	4.432211134564616e-05	-7.284170383170558e-06
17	CD8_C08_GZMK	0.05131604322202939	0.02682174243166927	0.03151228791525013	0.030506074283531887	0.028019973798235093	-0.00024070023477033034	0.0001275768399577985	-0.0003682770747281288
18	CD8_C09_LAYN	0.19839609372706207	0.0011991071823252073	0.0015153801376136045	0.0012830213756345253	0.001508588326383607	-6.274731888073177e-05	-4.4751601902542394e-05	-1.7995716978189377e-05
19	CD8_C10_SLC4A10	-0.005997308335860978	0.015845932366554377	0.014266506026522236	0.017992249992420866	0.013447167918267014	-9.472306754953157e-06	-2.72582586104952e-05	1.7785951855542045e-05
20	CD8_C11_MKI67	0.2727259833074188	0.0006106857255648889	0.0	0.0009309322221821941	0.0	0.00016654986499648885	0.00025388940568719936	-8.733954069071052e-05
