cohort	gene_n	canonical_vs_rank_score_spearman_rho	median_normalized_rank_displacement	max_normalized_rank_displacement	rank_score_role	canonical_score_status	outcome_loaded
ERP117672	35	0.9906191369606004	0.02564102564102564	0.10256410256410256	SENSITIVITY_ONLY	UNCHANGED_PRIMARY_FROZEN	NO
GSE302495	35	0.9914651493598862	0	0.10810810810810811	SENSITIVITY_ONLY	UNCHANGED_PRIMARY_FROZEN	NO
GSE104580	35	0.9880854447904158	0.0273972602739726	0.18493150684931506	SENSITIVITY_ONLY	UNCHANGED_PRIMARY_FROZEN	NO
