program_id	g_ERP	g_GSE	mean_g	min_g	both_positive	both_ge_corresponding_AF35
AF35	0.869215645771505	0.751586410140703	0.810401027956104	0.751586410140703	True	True
RANDOM_0001	0.212087627449604	0.215686438747523	0.2138870330985635	0.212087627449604	True	False
RANDOM_0002	0.444736721961738	0.0185107959979566	0.2316237589798473	0.0185107959979566	True	False
RANDOM_0003	0.083539887272866	-0.0672436810210227	0.008148103125921652	-0.0672436810210227	False	False
RANDOM_0004	-0.052391907249859	0.102743954190136	0.0251760234701385	-0.052391907249859	False	False
RANDOM_0005	0.155940288530783	-0.0447675091390129	0.05558638969588506	-0.0447675091390129	False	False
RANDOM_0006	0.445210798688886	0.400145784784518	0.422678291736702	0.400145784784518	True	False
RANDOM_0007	0.364016255537372	0.361497945136689	0.36275710033703046	0.361497945136689	True	False
RANDOM_0008	0.201259289833106	0.0234430637526622	0.1123511767928841	0.0234430637526622	True	False
RANDOM_0009	0.439799690681301	0.218479625698898	0.3291396581900995	0.218479625698898	True	False
RANDOM_0010	-0.0020346057541396	0.19011184379812	0.09403861902199019	-0.0020346057541396	False	False
RANDOM_0011	-0.231298025484731	0.165396641951166	-0.0329506917667825	-0.231298025484731	False	False
RANDOM_0012	0.223984261730662	0.23667629344666	0.23033027758866098	0.223984261730662	True	False
RANDOM_0013	0.549792834559749	0.099397855065665	0.324595344812707	0.099397855065665	True	False
RANDOM_0014	0.112791612030102	0.120931564761315	0.11686158839570851	0.112791612030102	True	False
RANDOM_0015	0.0418800334572979	0.0957016369557964	0.06879083520654715	0.0418800334572979	True	False
RANDOM_0016	0.380367059027862	0.0409678924882027	0.21066747575803235	0.0409678924882027	True	False
RANDOM_0017	-0.204767101936968	-0.0548998944189263	-0.12983349817794715	-0.204767101936968	False	False
RANDOM_0018	-0.0771312576984214	-0.100729921809531	-0.08893058975397619	-0.100729921809531	False	False
RANDOM_0019	-0.0082359557380568	-0.0414915964167238	-0.0248637760773903	-0.0414915964167238	False	False
RANDOM_0020	-0.347421923435079	0.398638565556631	0.025608321060776013	-0.347421923435079	False	False
RANDOM_0021	-0.022027339101523	0.160536712099479	0.06925468649897801	-0.022027339101523	False	False
RANDOM_0022	0.550537275611766	0.158178332272367	0.3543578039420665	0.158178332272367	True	False
RANDOM_0023	-0.0708333358459466	0.0516570781013164	-0.0095881288723151	-0.0708333358459466	False	False
RANDOM_0024	0.0545940015956529	0.0833351805363728	0.06896459106601285	0.0545940015956529	True	False
RANDOM_0025	0.139381469270104	0.327195335680351	0.23328840247522747	0.139381469270104	True	False
RANDOM_0026	0.294440820294339	0.0449086585158857	0.16967473940511235	0.0449086585158857	True	False
RANDOM_0027	0.130130518206724	-0.0230649373162749	0.05353279044522455	-0.0230649373162749	False	False
RANDOM_0028	0.322410197420659	0.0388809948571307	0.18064559613889486	0.0388809948571307	True	False
RANDOM_0029	0.264000132460179	0.192906150693373	0.228453141576776	0.192906150693373	True	False
RANDOM_0030	0.306970307992622	0.239547882753789	0.2732590953732055	0.239547882753789	True	False
RANDOM_0031	0.288654615667087	0.0741084344117153	0.18138152503940114	0.0741084344117153	True	False
RANDOM_0032	0.136531343356412	0.310640445301599	0.2235858943290055	0.136531343356412	True	False
RANDOM_0033	-0.125290708073943	0.421405266612893	0.148057279269475	-0.125290708073943	False	False
RANDOM_0034	0.58185470958272	0.301952246769117	0.4419034781759185	0.301952246769117	True	False
RANDOM_0035	0.107455057324764	0.205245068882108	0.156350063103436	0.107455057324764	True	False
RANDOM_0036	0.258061673926032	0.268376643417403	0.2632191586717175	0.258061673926032	True	False
RANDOM_0037	0.463039713636368	0.359607308687262	0.411323511161815	0.359607308687262	True	False
RANDOM_0038	0.23584706988077	0.101588745829421	0.1687179078550955	0.101588745829421	True	False
RANDOM_0039	0.322469584980718	0.0970818436857057	0.20977571433321185	0.0970818436857057	True	False
RANDOM_0040	0.272921336063412	0.0845839484774047	0.17875264227040835	0.0845839484774047	True	False
RANDOM_0041	0.341418629486377	0.064071914189834	0.2027452718381055	0.064071914189834	True	False
RANDOM_0042	0.366956251215235	0.005286487027266	0.1861213691212505	0.005286487027266	True	False
