scope	released_state	patient_n	mean_frozen_AF35	median_frozen_AF35	cell_n
ALL_MAPPED	CD4_C05_GNLY	9	0.13584126409106473	0.1361125059718953	669
ALL_MAPPED	CD8_C03_CX3CR1	9	0.21269113613863597	0.22857765630402857	7067
ALL_MAPPED	CD4_C01_CCR7	9	-0.14827074590811165	-0.1421967275841357	8429
ALL_MAPPED	CD8_C08_GZMK	9	0.0870859037177088	0.0763190068208919	6753
ALL_MAPPED	CD8_C01_LEF1	9	-0.17166194889798733	-0.16090463598140417	4427
ALL_MAPPED	CD8_C02_GPR183	9	-0.07339651664897785	-0.07416918222749888	535
ALL_MAPPED	CD4_C03_CD44	9	-0.10434787018718168	-0.10919065799425882	4080
ALL_MAPPED	CD4_C02_IL7R	9	-0.14264573432776295	-0.13865644900836335	3202
ALL_MAPPED	CD8_C06_IKZF2	9	0.2293132282348812	0.29431543312085773	868
ALL_MAPPED	CD4_C04_GZMK	9	-0.03707286703400754	-0.06509542280054809	7695
ALL_MAPPED	CD4_C08_FOXP3	9	-0.00869270477800583	-0.017633248839055964	1610
ALL_MAPPED	CD8_C04_GIMAP4	9	0.10776466090486789	0.11353184330523727	1141
ALL_MAPPED	CD8_C09_LAYN	9	0.23901249810690584	0.24601098465951637	2597
ALL_MAPPED	CD8_C05_CCR7	9	-0.021767498249787093	-0.03392925431473782	577
ALL_MAPPED	CD8_C10_SLC4A10	9	0.0475555273340993	0.03448663064436902	2186
ALL_MAPPED	CD4_C06_CXCL13	9	0.03423183450665949	0.03624572616141905	1422
ALL_MAPPED	CD4_C07_CTLA4	9	0.03174222042296901	0.03894792476555514	4581
ALL_MAPPED	CD8_C07_KIR2DL4	9	0.0866458511651077	0.0728111103358526	565
ALL_MAPPED	CD4_C09_MKI67	9	0.08523289632643499	0.07818614704410184	288
ALL_MAPPED	CD8_C11_MKI67	9	0.222404381122288	0.2284585228944226	180
pre_P	CD8_C01_LEF1	7	-0.18569694108887674	-0.17759658070177195	2113
pre_P	CD4_C04_GZMK	7	-0.03542164832014843	-0.04101146942320818	945
pre_P	CD4_C01_CCR7	7	-0.16979275689334758	-0.16147363807597173	3850
pre_P	CD8_C06_IKZF2	7	0.22308406872909017	0.2712589384606735	360
pre_P	CD4_C02_IL7R	7	-0.14788526457332596	-0.16851990904948735	2144
pre_P	CD8_C10_SLC4A10	7	0.033193662633152786	0.04420889534803345	221
pre_P	CD8_C03_CX3CR1	7	0.23359898997380418	0.24147351834992975	1974
pre_P	CD4_C05_GNLY	7	0.16711224603172212	0.15825364723612909	135
pre_P	CD8_C04_GIMAP4	6	0.11176141167278879	0.09711310347046112	334
pre_P	CD8_C08_GZMK	7	0.09050701419104336	0.07479337251739386	438
pre_P	CD4_C08_FOXP3	7	-0.02716170909982088	-0.04965874731577673	537
pre_P	CD8_C02_GPR183	7	-0.06714761420135108	-0.10790929569539759	212
pre_P	CD4_C09_MKI67	6	0.07087860544476565	0.0885070650713298	11
pre_P	CD4_C03_CD44	7	-0.14595156414082247	-0.13427100457986316	717
pre_P	CD4_C07_CTLA4	3	0.1880933887369526	0.009081265628871425	6
pre_P	CD8_C09_LAYN	5	0.23595780523516535	0.12683970162826044	19
pre_P	CD8_C07_KIR2DL4	4	-0.012991185614421925	0.03354442185504233	4
pre_P	CD4_C06_CXCL13	5	0.1036354087296552	0.19037637203417168	9
pre_P	CD8_C05_CCR7	6	-0.14062663841661777	-0.05143225463228172	121
pre_P	CD8_C11_MKI67	3	0.2840146546956139	0.27544304605485276	3
pre_T	CD4_C04_GZMK	6	-0.11694596738170802	-0.12266821998060681	1444
pre_T	CD8_C08_GZMK	6	0.031078671043352168	0.03864475582231766	1594
pre_T	CD4_C07_CTLA4	6	-0.0010169098549462584	-0.016338172414995505	1627
pre_T	CD4_C03_CD44	6	-0.16304774873822966	-0.16966761474825864	1086
pre_T	CD8_C11_MKI67	6	0.1935900601954547	0.19732809660821138	95
pre_T	CD8_C09_LAYN	6	0.19255850422789025	0.216495889458647	1290
pre_T	CD4_C01_CCR7	6	-0.18766106128105542	-0.22094273844391582	184
pre_T	CD8_C01_LEF1	6	-0.27906159788237345	-0.26744968490258525	49
pre_T	CD8_C10_SLC4A10	6	0.004891564967808883	0.0037434582755493783	623
pre_T	CD8_C07_KIR2DL4	6	0.009423633613011942	0.04846879217381278	127
pre_T	CD8_C03_CX3CR1	6	0.11684981626103681	0.12247242064852676	195
pre_T	CD4_C06_CXCL13	6	-0.03890994826572257	-0.028936861305911908	452
