cohort	draws	finite_draws	nonfinite_draws	seed	observed_delta_g	delta_q025	delta_q975	proportion_delta_lt_zero	interpretation	residual_model_refit_in_bootstrap
ERP117672	20000	20000	0	2026090801	0.14630255562187489	-1.2671230101959676	1.3377099301525495	0.38655	DESCRIPTIVE_NOT_P_VALUE	False
GSE302495	20000	20000	0	2026090802	-0.3646236064347315	-1.0061409130703676	0.2473122328461604	0.8871	DESCRIPTIVE_NOT_P_VALUE	False
