gene_i	gene_j	ERP117672	GSE302495
REL	PRF1	0.31064425770308124	0.33406280774701824
REL	GZMB	0.40952380952380957	0.6198708830287778
REL	PDCD1	0.37142857142857144	0.33187438450596346
REL	LAG3	0.37927170868347343	0.23339533865849657
REL	TIGIT	0.2092436974789916	0.2898566582777109
REL	TOX	0.2949579831932773	0.30714520188204397
RELA	NFKBIA	0.39159663865546224	-0.2863551810920232
RELA	TNFAIP3	0.3204481792717087	-0.05372579056789582
RELA	STAT1	-0.12633053221288518	0.060291060291060294
RELA	IRF1	0.09523809523809525	0.03621840463945727
RELA	IFIT1	0.028011204481792715	-0.08392603129445234
RELA	IFIT2	-0.02997198879551821	-0.046066309224203954
RELA	IFIT3	0.07226890756302522	-0.024182076813655765
RELA	ISG15	-0.1512605042016807	0.25374767480030636
RELA	MX1	0.055462184873949584	0.06685633001422475
RELA	OAS1	-0.11568627450980393	-0.2325199693620746
RELA	CXCL9	0.025770308123249302	-0.13338439654229128
RELA	CXCL10	0.12829131652661066	0.009081956450377503
RELA	IFNG	-0.05407677432779495	-0.21042843164942823
RELA	TNF	0.07161879824399865	-0.006893533209322683
RELA	CCL5	0.06442577030812326	-0.294890031732137
RELA	NKG7	-0.17955182072829132	-0.054163475216106795
RELA	PRF1	0.030532212885154068	-0.28963781595360544
RELA	GZMB	0.03613445378151261	-0.2618448407922092
RELA	PDCD1	0.23249299719887956	-0.09421162052740999
RELA	LAG3	0.0392156862745098	-0.349381770434402
RELA	TIGIT	-0.08347338935574229	-0.11937848779954041
RELA	TOX	-0.2081232492997199	-0.21041689462742094
NFKBIA	TNFAIP3	0.5350140056022409	0.25571725571725573
NFKBIA	STAT1	0.1753501400560224	-0.3320932268300689
NFKBIA	IRF1	0.5084033613445378	0.1596454754349491
NFKBIA	IFIT1	0.234733893557423	0.07626654995076047
NFKBIA	IFIT2	0.2285714285714286	-0.007550060181639129
NFKBIA	IFIT3	0.2669467787114846	-0.06970128022759602
NFKBIA	ISG15	0.07394957983193277	-0.21172994857205382
NFKBIA	MX1	0.0473389355742297	-0.09355509355509356
NFKBIA	OAS1	0.2016806722689076	0.14979757085020243
NFKBIA	CXCL9	0.2649859943977591	-0.12660028449502134
NFKBIA	CXCL10	0.41036414565826335	-0.18568771200350145
NFKBIA	IFNG	0.24600729461038326	0.09760111015077592
NFKBIA	TNF	0.482550924371991	0.012364591311959734
NFKBIA	CCL5	0.4092436974789916	0.33165554218185794
NFKBIA	NKG7	0.36050420168067226	0.26293905241273663
NFKBIA	PRF1	0.42072829131652667	0.3102089944195207
NFKBIA	GZMB	0.2736694677871148	0.21545026808184703
NFKBIA	PDCD1	0.4170868347338936	0.04869241711346974
NFKBIA	LAG3	0.4728291316526611	0.3141481562534194
NFKBIA	TIGIT	0.2803921568627451	0.08261297734981946
NFKBIA	TOX	0.25350140056022413	0.08677098150782363
TNFAIP3	STAT1	0.4504201680672269	0.24193018929861035
TNFAIP3	IRF1	0.6703081232492997	0.6557610241820767
TNFAIP3	IFIT1	0.2246498599439776	-0.3082394135025714
TNFAIP3	IFIT2	0.34201680672268914	0.11653353758616918
TNFAIP3	IFIT3	0.3226890756302521	-0.14454535507167085
TNFAIP3	ISG15	0.3478991596638656	-0.3789254841886421
TNFAIP3	MX1	0.31652661064425774	0.1465149359886202
TNFAIP3	OAS1	0.2518207282913165	0.040376408797461426
TNFAIP3	CXCL9	0.5736694677871148	0.3108655213918372
TNFAIP3	CXCL10	0.7549019607843138	0.19684867053288105
TNFAIP3	IFNG	0.547492316251354	0.10921246556714209
