released_t_cell_state	TCR_activation	cytotoxicity	exhaustion
CD4_C05_GNLY	-0.13395215274	0.242465361779	-0.058558162211
CD8_C03_CX3CR1	-0.920350289073	0.80542044077	-0.138517551531
CD4_C01_CCR7	0.0669282749748	-0.647168521725	-0.235214014399
CD8_C03_CX3CR1	-0.0858679008801	0.994096815565	-0.168485866881
CD8_C08_GZMK	0.476506166188	0.714161519111	-0.352763613388
CD4_C01_CCR7	-0.238258325419	-0.647168521725	-0.0644785116158
CD8_C01_LEF1	-0.150833703253	-0.51681084702	-0.352763613388
CD8_C02_GPR183	-0.262309065972	-0.578981792824	-0.352763613388
CD8_C08_GZMK	-0.442453197463	1.03596914732	-0.352763613388
CD8_C03_CX3CR1	-0.208590433524	1.15567226289	-0.144653170595
CD8_C08_GZMK	0.110988789988	-0.125681579613	-0.0718968418786
CD8_C03_CX3CR1	-0.238768607268	1.06357869942	-0.141193113542
CD4_C03_CD44	0.0637928001521	-0.571103572422	0.0289410913304
CD8_C01_LEF1	0.44118355974	-0.647168521725	-0.193067404752
CD4_C03_CD44	-0.161175438176	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	-0.444526494088	1.25526997144	-0.0323229871191
CD8_C01_LEF1	-0.664573872844	-0.647168521725	-0.0489381202822
CD4_C02_IL7R	-0.0285020314451	-0.647168521725	0.884212196395
CD4_C05_GNLY	-0.212151609805	0.584275358409	-0.00448601059368
CD8_C03_CX3CR1	-0.735823752505	1.64476265443	0.574890274222
CD4_C03_CD44	-0.439334941575	-0.40138695408	-0.352763613388
CD8_C08_GZMK	-0.170743790773	0.864443332171	-0.00555713217046
CD8_C03_CX3CR1	0.412898678018	1.47382419423	0.0172833048053
CD4_C01_CCR7	-0.0219865023822	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.0715627561512	-0.647168521725	-0.352763613388
CD4_C05_GNLY	-0.108682850348	0.897002724428	-0.352763613388
CD4_C01_CCR7	0.240885847332	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.335190500891	-0.565052844828	-0.220641155377
CD4_C01_CCR7	0.351007440776	-0.434099466234	0.0351898372282
CD4_C01_CCR7	-0.158121871164	-0.386375556048	-0.352763613388
CD4_C03_CD44	-0.791575646504	-0.530852504552	-0.352763613388
CD8_C06_IKZF2	0.214053128887	1.63691090817	-0.352763613388
CD4_C03_CD44	0.0627306923527	-0.235956195071	0.0536452905253
CD4_C05_GNLY	0.012079433998	0.248829317228	0.01593435442
CD4_C01_CCR7	-0.402778808722	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.126272519803	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.266530767695	-0.534353847071	0.129805820621
CD8_C03_CX3CR1	-0.559162037088	0.738753828812	0.0147086634824
CD4_C02_IL7R	-0.585466311561	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.736240042685	-0.647168521725	-0.229865629935
CD4_C04_GZMK	0.553830048706	-0.537803022495	-0.235958618502
CD4_C08_FOXP3	0.619640923341	-0.550327756436	0.39924042741
CD4_C01_CCR7	-0.464566902702	-0.647168521725	-0.352763613388
CD4_C03_CD44	-0.649358161328	-0.507896719384	-0.352763613388
CD4_C05_GNLY	-0.407394641319	0.511039544268	-0.352763613388
CD4_C01_CCR7	0.0869132235333	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	-0.855701929382	-0.440366916863	-0.0816046537861
