cohort	subset_id	retained_gene_count	retained_fraction	hedges_g	full_AF35_hedges_g	delta_g	absolute_delta_g	direction	score_rho	rho_population_n	omitted_gene	gene_rank
ERP117672	SINGLE_01	34	0.9714285714285714	0.8790156242655873	0.8692156457715055	0.009799978494081873	0.009799978494081873	POSITIVE	0.9980392156862745	35	CD3D	1
ERP117672	SINGLE_02	34	0.9714285714285714	0.8721058547939329	0.8692156457715055	0.0028902090224274257	0.0028902090224274257	POSITIVE	0.9983193277310926	35	CD3E	2
ERP117672	SINGLE_03	34	0.9714285714285714	0.8760898649526851	0.8692156457715055	0.006874219181179697	0.006874219181179697	POSITIVE	0.9988795518207283	35	CD3G	3
ERP117672	SINGLE_04	34	0.9714285714285714	0.8619122582583337	0.8692156457715055	-0.007303387513171722	0.007303387513171722	POSITIVE	0.9983193277310926	35	CD247	4
ERP117672	SINGLE_05	34	0.9714285714285714	0.8759223198492204	0.8692156457715055	0.006706674077714969	0.006706674077714969	POSITIVE	0.9969187675070029	35	LCK	5
ERP117672	SINGLE_06	34	0.9714285714285714	0.9044149235909014	0.8692156457715055	0.03519927781939591	0.03519927781939591	POSITIVE	0.9983193277310926	35	FYN	6
ERP117672	SINGLE_07	34	0.9714285714285714	0.8928822720386637	0.8692156457715055	0.02366662626715821	0.02366662626715821	POSITIVE	0.9985994397759103	35	ZAP70	7
ERP117672	SINGLE_08	34	0.9714285714285714	0.875861275751944	0.8692156457715055	0.006645629980438494	0.006645629980438494	POSITIVE	0.9988795518207283	35	LAT	8
ERP117672	SINGLE_09	34	0.9714285714285714	0.8907462466438265	0.8692156457715055	0.02153060087232106	0.02153060087232106	POSITIVE	0.9985994397759103	35	LCP2	9
ERP117672	SINGLE_10	34	0.9714285714285714	0.8764919293975575	0.8692156457715055	0.007276283626052038	0.007276283626052038	POSITIVE	0.9983193277310926	35	TRAT1	10
ERP117672	SINGLE_11	34	0.9714285714285714	0.8413965854486473	0.8692156457715055	-0.02781906032285819	0.02781906032285819	POSITIVE	0.9969187675070029	35	NFKB1	11
ERP117672	SINGLE_12	34	0.9714285714285714	0.8529178471708684	0.8692156457715055	-0.01629779860063707	0.01629779860063707	POSITIVE	0.996358543417367	35	REL	12
ERP117672	SINGLE_13	34	0.9714285714285714	0.8678097883661348	0.8692156457715055	-0.0014058574053706918	0.0014058574053706918	POSITIVE	0.9966386554621849	35	RELA	13
ERP117672	SINGLE_14	34	0.9714285714285714	0.8739749368939157	0.8692156457715055	0.004759291122410247	0.004759291122410247	POSITIVE	0.9985994397759103	35	NFKBIA	14
ERP117672	SINGLE_15	34	0.9714285714285714	0.8835308086568543	0.8692156457715055	0.014315162885348842	0.014315162885348842	POSITIVE	0.9966386554621849	35	TNFAIP3	15
ERP117672	SINGLE_16	34	0.9714285714285714	0.8680458162734865	0.8692156457715055	-0.001169829498018915	0.001169829498018915	POSITIVE	0.9980392156862745	35	STAT1	16
ERP117672	SINGLE_17	34	0.9714285714285714	0.8632855327403414	0.8692156457715055	-0.005930113031164086	0.005930113031164086	POSITIVE	0.9983193277310926	35	IRF1	17
ERP117672	SINGLE_18	34	0.9714285714285714	0.8728209952695506	0.8692156457715055	0.0036053494980451406	0.0036053494980451406	POSITIVE	0.996358543417367	35	IFIT1	18
ERP117672	SINGLE_19	34	0.9714285714285714	0.8988158721783742	0.8692156457715055	0.029600226406868768	0.029600226406868768	POSITIVE	0.9971988795518207	35	IFIT2	19
ERP117672	SINGLE_20	34	0.9714285714285714	0.8616845049182639	0.8692156457715055	-0.00753114085324158	0.00753114085324158	POSITIVE	0.9969187675070029	35	IFIT3	20
ERP117672	SINGLE_21	34	0.9714285714285714	0.8728527166600911	0.8692156457715055	0.0036370708885856695	0.0036370708885856695	POSITIVE	0.9980392156862745	35	ISG15	21
ERP117672	SINGLE_22	34	0.9714285714285714	0.8497414126082097	0.8692156457715055	-0.019474233163295773	0.019474233163295773	POSITIVE	0.996358543417367	35	MX1	22
ERP117672	SINGLE_23	34	0.9714285714285714	0.8572847887221137	0.8692156457715055	-0.011930857049391785	0.011930857049391785	POSITIVE	0.9977591036414567	35	OAS1	23
ERP117672	SINGLE_24	34	0.9714285714285714	0.8875302026102914	0.8692156457715055	0.01831455683878591	0.01831455683878591	POSITIVE	0.9991596638655462	35	CXCL9	24
ERP117672	SINGLE_25	34	0.9714285714285714	0.8873988084633648	0.8692156457715055	0.018183162691859378	0.018183162691859378	POSITIVE	0.9991596638655462	35	CXCL10	25
ERP117672	SINGLE_26	34	0.9714285714285714	0.8474321584639799	0.8692156457715055	-0.02178348730752555	0.02178348730752555	POSITIVE	0.9988795518207283	35	IFNG	26
ERP117672	SINGLE_27	34	0.9714285714285714	0.8686979561489692	0.8692156457715055	-0.0005176896225362881	0.0005176896225362881	POSITIVE	0.9994397759103643	35	TNF	27
ERP117672	SINGLE_28	34	0.9714285714285714	0.8712069376957375	0.8692156457715055	0.001991291924232086	0.001991291924232086	POSITIVE	0.9994397759103643	35	CCL5	28
ERP117672	SINGLE_29	34	0.9714285714285714	0.8670707213275584	0.8692156457715055	-0.002144924443947094	0.002144924443947094	POSITIVE	0.9988795518207283	35	NKG7	29
ERP117672	SINGLE_30	34	0.9714285714285714	0.8512682745242347	0.8692156457715055	-0.01794737124727075	0.01794737124727075	POSITIVE	0.9988795518207283	35	PRF1	30
ERP117672	SINGLE_31	34	0.9714285714285714	0.8442597190106573	0.8692156457715055	-0.024955926760848124	0.024955926760848124	POSITIVE	0.9985994397759103	35	GZMB	31
ERP117672	SINGLE_32	34	0.9714285714285714	0.8542338255712796	0.8692156457715055	-0.01498182020022587	0.01498182020022587	POSITIVE	0.9966386554621849	35	PDCD1	32
ERP117672	SINGLE_33	34	0.9714285714285714	0.8552943722937605	0.8692156457715055	-0.013921273477744966	0.013921273477744966	POSITIVE	0.9977591036414567	35	LAG3	33
ERP117672	SINGLE_34	34	0.9714285714285714	0.8715590107525214	0.8692156457715055	0.0023433649810159496	0.0023433649810159496	POSITIVE	0.9994397759103643	35	TIGIT	34
ERP117672	SINGLE_35	34	0.9714285714285714	0.8365643556240171	0.8692156457715055	-0.032651290147488354	0.032651290147488354	POSITIVE	0.9969187675070029	35	TOX	35
GSE302495	SINGLE_01	34	0.9714285714285714	0.7495071573776986	0.7515864101407033	-0.002079252763004691	0.002079252763004691	POSITIVE	0.9986869460553671	38	CD3D	1
GSE302495	SINGLE_02	34	0.9714285714285714	0.7476257070197011	0.7515864101407033	-0.003960703121002163	0.003960703121002163	POSITIVE	0.9986869460553671	38	CD3E	2
GSE302495	SINGLE_03	34	0.9714285714285714	0.7407737366301911	0.7515864101407033	-0.010812673510512183	0.010812673510512183	POSITIVE	0.9982492614071562	38	CD3G	3
GSE302495	SINGLE_04	34	0.9714285714285714	0.7733603468252823	0.7515864101407033	0.021773936684579054	0.021773936684579054	POSITIVE	0.9964985228143123	38	CD247	4
GSE302495	SINGLE_05	34	0.9714285714285714	0.7543970046753642	0.7515864101407033	0.0028105945346609262	0.0028105945346609262	POSITIVE	0.9980304190830506	38	LCK	5
GSE302495	SINGLE_06	34	0.9714285714285714	0.766974550673207	0.7515864101407033	0.015388140532503702	0.015388140532503702	POSITIVE	0.9978115767589453	38	FYN	6
GSE302495	SINGLE_07	34	0.9714285714285714	0.7430865567383536	0.7515864101407033	-0.00849985340234971	0.00849985340234971	POSITIVE	0.9980304190830506	38	ZAP70	7
GSE302495	SINGLE_08	34	0.9714285714285714	0.7689560070081356	0.7515864101407033	0.017369596867432335	0.017369596867432335	POSITIVE	0.9967173651384177	38	LAT	8
