cohort	n	gene_n	pair_n	median_pairwise	mean_pairwise	positive_pair_fraction	pair_q025	pair_q975	PC1_variance	PC2_variance	median_gene_to_rest	min_gene_to_rest	max_gene_to_rest	split_half_median	split_half_q025	split_half_q975	spearman_brown_median
ERP117672	35	35	595	0.480952380952381	0.4645160810729041	0.9680672268907563	-0.0330252100840336	0.8594672790362928	0.562266130071394	0.10639900924094006	0.7507002801120448	0.09411764705882353	0.9201680672268907	0.9364145658263305	0.8733893557422969	0.9683473389355742	0.9671633154925503
GSE302495	38	35	595	0.3830834883466462	0.3520895959772609	0.8840336134453781	-0.2650071123755334	0.7856658277710908	0.42807070585421814	0.10836326019802048	0.6122114016850859	-0.23558376189955138	0.9076485392274866	0.9126819126819127	0.8312725681146734	0.9560126928547981	0.9543478260869565
