dataset	comparator_paper_id	comparator	candidate	base_formula	candidate_formula	n	n_R	n_NR	parameters_excluding_intercept	events_per_parameter	af35_conditional_beta	af35_conditional_or_per_sd	conditional_ci_low	conditional_ci_high	conditional_profile_p	coefficient_direction	convergence	convergence_max	loo_af35_coefficient_positive_fraction	loo_af35_coefficient_same_direction_fraction	loo_fit_success_n	loo_total_n	model_warning	model_scope	biological_replicate
ERP117672	S007	S007_ISG_20	AF35	response ~ S007_ISG_20	response ~ S007_ISG_20 + AF35	35	6	29	2	3	0.7658483055213747	2.1508181518994274	0.7003002298076357	9.075917701050981	0.1890811838505012	POSITIVE	CONVERGED	8.780787733873766e-7	1	1	35	35	LOW_EVENT_PER_PARAMETER:3.0	ONE_PUBLISHED_COMPARATOR_PLUS_AF35	patient
GSE302495	S007	S007_ISG_20	AF35	response ~ S007_ISG_20	response ~ S007_ISG_20 + AF35	38	12	26	2	6	0.3887010673155469	1.47506354071613	0.5979152628576336	4.14353410931119	0.40798931461735166	POSITIVE	CONVERGED	9.80298334325844e-7	1	1	38	38	LOW_EVENT_PER_PARAMETER:6.0	ONE_PUBLISHED_COMPARATOR_PLUS_AF35	patient
