reference	observed	random_median	random_q025	random_q975	random_n	count_ge	count_le	count_equal	reference_percentile	formal_p_value_reported
GSE314342_Rest	0.12730986189457305	0.00028621446633507106	-0.19085086281157085	0.1909154694750882	10000	970	9030	0	90.3	False
GSE314342_Stim8hr	-0.11776752716258646	-0.000116708811515287	-0.1887487148136827	0.19096923889182202	10000	8877	1123	0	11.23	False
GSE314342_Stim48hr	0.03871675882957734	-0.0016478172673465488	-0.19301733959485365	0.19529163308972683	10000	3403	6597	0	65.97	False
