program_id	ERP117672__median_pairwise	ERP117672__PC1_variance	ERP117672__median_gene_to_rest	GSE302495__median_pairwise	GSE302495__PC1_variance	GSE302495__median_gene_to_rest	covariance_pearson	covariance_spearman	connectivity_pearson	connectivity_spearman
RANDOM_0001	0.1406162464985994	0.2153657485174115	0.3672268907563025	0.044753255279571	0.2009609742304282	0.1992559360980413	0.4879927752732758	0.4683889929127097	0.523395871005263	0.4512605042016807
RANDOM_0002	0.1172840244848166	0.2008427153272916	0.326890756302521	0.0845825582667688	0.1915105532638322	0.2587810482547324	0.4488950513833805	0.39409885595168037	0.7555410932992447	0.6820728291316527
RANDOM_0003	0.0717086834733893	0.2088716925148862	0.2243697478991596	0.056570740781267	0.1999489998949687	0.209103840682788	0.4425800312554743	0.4204772691068838	0.4034609814395785	0.3658263305322128
RANDOM_0004	0.1460406805679972	0.1948615532329246	0.3596638655462185	0.0734215997373892	0.1654240605588183	0.2478389320494583	0.3590721146061847	0.29709738462072455	0.4911000887537773	0.2028011204481792
RANDOM_0005	0.0807854932003455	0.2031499853160705	0.2526610644257703	0.0790378875631963	0.2385618364030005	0.2887624466571835	0.4861395825105942	0.44626603877519977	0.6971413286479232	0.6198879551820728
RANDOM_0006	0.1288515406162465	0.2370668321148404	0.3168067226890756	0.0951078057150234	0.1985872232497301	0.3123974176605755	0.4274537829409187	0.37915691247744476	0.6001193427578402	0.4140056022408963
RANDOM_0007	0.1120448179271708	0.2255141953553602	0.3619047619047619	0.0985884670095196	0.2196646223943063	0.3172119487908961	0.5224430019776674	0.48922739641031704	0.7362616596650249	0.7081232492997199
RANDOM_0008	0.1296918767507003	0.2248184846501136	0.3673297986722237	0.1130320604004814	0.2333337354390827	0.3443483969799759	0.5537274344584379	0.519641983801134	0.6424128199401088	0.5215686274509804
RANDOM_0009	0.1218487394957983	0.2043035322250623	0.3159663865546218	0.0821752927016084	0.2123982598303651	0.3281891588897483	0.5034777476394673	0.44816469907768197	0.7541974864545089	0.5969187675070028
RANDOM_0010	0.0883119548755919	0.1792359223388197	0.226610644257703	0.0655432760695918	0.1868326758890314	0.190174611243852	0.3264130612282154	0.3114644490714607	0.095540225635042	0.1123249299719888
RANDOM_0011	0.0714285714285714	0.2267328173093554	0.2319327731092437	0.0219936535726009	0.2225125104050609	0.1806543385490754	0.6898883307119185	0.6792310654323435	0.6296184696827387	0.5058823529411764
RANDOM_0012	0.0825555317437966	0.2315421936072441	0.2106442577030812	0.0609475872633767	0.2107712684238265	0.1985994091257249	0.5500021992078102	0.509348912333056	0.6793086308528189	0.5815126050420169
RANDOM_0013	0.1481792717086834	0.2413544107348311	0.3686274509803922	0.0826129773498194	0.2110360221936323	0.3051756209650946	0.5091538974944104	0.47185150286927835	0.7178341222185095	0.5750700280112044
RANDOM_0014	0.0675070028011204	0.226731332846361	0.2482470884802285	0.0598787857184408	0.1891492212443652	0.2200459568880621	0.3504895087828648	0.3327982267867241	0.4270731963567274	0.3977591036414565
RANDOM_0015	0.0963585434173669	0.1831146801273085	0.3016806722689075	0.0699201225517014	0.1952027254901431	0.2765072765072765	0.5619872523512351	0.4836286753722772	0.7087306711890091	0.4327731092436975
RANDOM_0016	0.1002801120448179	0.2075945559627015	0.3176470588235294	0.0732027574132837	0.1644476269815105	0.1929095086989823	0.4455795198516254	0.3964794003852996	0.696281357507469	0.6378151260504201
RANDOM_0017	0.0717086834733893	0.2201815535104848	0.2042016806722689	0.0202651014342239	0.1990805038281203	0.117846591530802	0.5622176405004514	0.5337183107413601	0.4098058613611528	0.3913165266106442
RANDOM_0018	0.1281602356248839	0.2494789096890996	0.3997198879551821	0.069701280227596	0.2230473972929279	0.2572491519859941	0.6014396139495392	0.5788963789476622	0.7490156186841921	0.6599439775910364
RANDOM_0019	0.099719887955182	0.183941164351912	0.2768282540718207	0.0597490547633494	0.1695289496797945	0.1594266331108436	0.3576972593813586	0.31541166090488437	0.2994668462209742	0.2966386554621849
RANDOM_0020	0.0837535014005602	0.2041250204560432	0.2030812324929972	0.0386256702046175	0.1995337749941046	0.0821752927016084	0.5018256043979551	0.47793624223442627	0.4441063879462298	0.4176470588235294
RANDOM_0021	0.1450980392156863	0.2565010949770701	0.3722689075630252	0.0593790533184886	0.265844272960572	0.2594375752270489	0.6658094998743016	0.6362627885110583	0.6103569426113544	0.3781512605042016
RANDOM_0022	0.1350140056022409	0.2146780421947263	0.3680672268907563	0.0543823175402122	0.1840070844220728	0.2097603676551045	0.403878242710642	0.3735224556996939	0.6956251849811684	0.5871148459383754
RANDOM_0023	0.0941176470588235	0.2032460143883312	0.2661064425770308	0.0517562096509464	0.1939109828312495	0.2161067950541634	0.4295066219210705	0.3976259921038479	0.3549382478339455	0.3445378151260504
RANDOM_0024	0.0812324929971988	0.2168428142656127	0.2484593837535014	0.0178356494145967	0.1949193586440838	0.1473903052850421	0.4417980477110792	0.4291879599864518	0.1226665509661303	-0.0243697478991596
RANDOM_0025	0.087329150926261	0.2573978030895815	0.3296918767507003	0.0395010395010395	0.2015458457523432	0.1747455957982273	0.4801118769465072	0.4035262216668853	0.4096169139427399	0.3072829131652661
RANDOM_0026	0.099719887955182	0.1958853769369283	0.2873949579831932	0.0279023963234489	0.1885844876743233	0.1764963343910712	0.517716622494457	0.49692662542515337	0.6976402647729152	0.603641456582633
RANDOM_0027	0.0750700280112044	0.2645399296424318	0.2829131652661064	0.0725462304409672	0.2294762959682041	0.2668782142466353	0.65661006104582	0.6307267700067748	0.769038707049528	0.6050420168067226
RANDOM_0028	0.1411352834279973	0.2164811219266061	0.3302521008403361	0.1101871101871102	0.1713982222759116	0.3351570193675456	0.2640766947163295	0.24499686141110288	0.3141257513646488	0.3431372549019608
RANDOM_0029	0.1134453781512605	0.2081753735416313	0.3258615986695622	0.0591968486705328	0.1866297886833061	0.2174198489987963	0.369446425957741	0.33925267937558523	0.4025317223622484	0.3815126050420168
RANDOM_0030	0.1663630401479968	0.2534962071224836	0.3949579831932773	0.0797680271364481	0.1784168339668163	0.2791333843965423	0.4876133128553648	0.4278624560110276	0.6404000443343779	0.3319327731092437
RANDOM_0031	0.0781512605042016	0.2244395052377207	0.3047619047619048	0.0749534960061275	0.1835965991726256	0.2185140606193237	0.4916256973252277	0.44890066394787226	0.6847290674816308	0.6467787114845939
RANDOM_0032	0.1394957983193277	0.2490145173233649	0.3529411764705882	0.0583854003483317	0.2459255042183955	0.234051865630813	0.5986617877106253	0.5914054392391108	0.6072915540584958	0.4014005602240896
RANDOM_0033	0.1240896358543417	0.1876376385009046	0.2460072946103832	0.0519750519750519	0.1828663987268167	0.1476091476091476	0.4222922547111132	0.3902682375551531	0.5416878860665674	0.4596638655462184
RANDOM_0034	0.1963585434173669	0.2723542224877561	0.4428571428571428	0.1020899441952073	0.2067515418503011	0.3513513513513513	0.5206344179132023	0.46284700513509375	0.7028529999712616	0.4963585434173669
RANDOM_0035	0.1226890756302521	0.231565836176523	0.3593837535014005	0.1513294671189408	0.2262046410040705	0.3649195754458912	0.5448737543943222	0.506863926418824	0.783554715418508	0.7971988795518208
RANDOM_0036	0.1074982744679979	0.2313404399020445	0.2523809523809524	0.0272458693511325	0.226425478919641	0.2519969362074625	0.6083190738103902	0.5472663032602548	0.6977099219718732	0.6529411764705882
RANDOM_0037	0.1271708683473389	0.1971956445145922	0.3117647058823529	0.1086552139183718	0.2244373546710245	0.3417222890907101	0.4660885530334657	0.45144968446991585	0.6841784850340775	0.6142857142857143
RANDOM_0038	0.1224175365422388	0.2049612297630179	0.2873949579831932	0.0550388445125287	0.1833306433092384	0.2784768574242258	0.5035238473138538	0.45952162825433174	0.6195685706427575	0.5719887955182072
RANDOM_0039	0.1042016806722689	0.2157741826558431	0.380672268907563	0.0856767698872962	0.2397242444254381	0.3323120691541744	0.4974692036008119	0.47587853904198535	0.7125390280819667	0.5775910364145658
RANDOM_0040	0.1436974789915966	0.2514719232541321	0.4294117647058823	0.1040595251121567	0.1997150124176441	0.3167742641426851	0.5458641242127057	0.5009596710568609	0.6214574487757619	0.4941176470588235
RANDOM_0041	0.0859943977591036	0.223657952563873	0.2310924369747899	0.0721124912169812	0.1811373234731305	0.2353649195754459	0.4655944532595492	0.40834620361986895	0.645498196734438	0.5991596638655462
RANDOM_0042	0.1369747899159664	0.2626382948995381	0.3753501400560224	0.0970565707407812	0.2183450026885268	0.2924827661669767	0.5516506365903848	0.5043047396058092	0.7271108456784364	0.607563025210084
RANDOM_0043	0.1375350140056022	0.247311785793709	0.3445378151260504	0.0872123788404092	0.2098338304361413	0.2852609694714957	0.514250684036694	0.4970271750517871	0.6493580287308882	0.5453781512605042
RANDOM_0044	0.0890756302521008	0.1970127136610863	0.2761904761904762	0.0957644764104091	0.1914655464137191	0.2541853594485173	0.485284345585222	0.41543223461864814	0.6282881740459663	0.5943977591036415
RANDOM_0045	0.072829131652661	0.2382172905191346	0.196078431372549	0.0268081847029215	0.2110077126463327	0.1498659777275205	0.5062665994125949	0.4526078262381079	0.123847784194673	0.1260504201680672
RANDOM_0046	0.1509803921568627	0.2409979458345598	0.4011204481792717	0.0902724586935113	0.2241856767471292	0.2447751395119816	0.5666545226845351	0.5111515534168347	0.817851665647185	0.6114845938375351
RANDOM_0047	0.1239582606863631	0.2456176433082515	0.2929971988795518	0.0953058321479374	0.1784356215184742	0.2797899113688587	0.4039385570447468	0.35004361907246484	0.4536665992612008	0.3935574229691876
RANDOM_0048	0.123397997361227	0.2132681981089294	0.3235294117647059	0.0926797242586716	0.2292033707356534	0.3115220483641536	0.4988617192442883	0.46543196965523953	0.7957751859902849	0.5521008403361345
RANDOM_0049	0.0994397759103641	0.2152129787659218	0.3271708683473389	0.0615594117321139	0.1765142194826393	0.1981617244775139	0.3972501747878548	0.38729654308914274	0.4927024847327313	0.5274509803921569
RANDOM_0050	0.0876750700280112	0.1853793601251412	0.2717086834733893	0.0699201225517014	0.1523451018010384	0.2073531020899442	0.4067315477251612	0.3899454091304451	0.2554534604965701	0.2
RANDOM_0051	0.169187675070028	0.2713497802576439	0.3929971988795518	0.1038406827880512	0.2018502246472448	0.3618557829084144	0.4894877766199609	0.45978852858287844	0.6554745148059834	0.4333333333333333
RANDOM_0052	0.1092436974789916	0.2169751242127939	0.2605042016806723	0.0880840354524565	0.1928584229683857	0.2548418864208338	0.4959661818987524	0.4620131013885421	0.5719165355914877	0.4649859943977591
RANDOM_0053	0.0826330532212885	0.26928314873104	0.3	0.0668563300142247	0.2255355347062585	0.3191815297078455	0.5809415877833274	0.5092826546912103	0.6562263351738881	0.619327731092437
RANDOM_0054	0.0661064425770308	0.2879326261608429	0.2495798319327731	0.0745158113579166	0.2148911269105264	0.179986889239595	0.6556120667447234	0.6416628099237844	0.5967181652528191	0.6235294117647059
RANDOM_0055	0.1061624649859944	0.2060795922718329	0.2817927170868347	0.0456286245759929	0.1903738853637843	0.1585512638144217	0.4201282006954929	0.3651280843557839	0.3556622256571668	0.2375350140056022
RANDOM_0056	0.1291316526610644	0.2198544811599729	0.3675070028011205	0.0802057117846591	0.1953829044266443	0.3369077579603895	0.4535439924860795	0.44310522416038317	0.4729199159108396	0.4773109243697479
RANDOM_0057	0.0966386554621848	0.1721187283603305	0.3100840336134454	0.1287887077360761	0.1888425426774857	0.3360323886639676	0.3972492976301828	0.37474743350312073	0.4630201591983028	0.3100840336134454
RANDOM_0058	0.1014005602240896	0.20514031343697	0.299719887955182	0.0410329357697778	0.16661328509409	0.2410548200021884	0.4972262102311611	0.4659184082738922	0.252836907868595	0.2577030812324929
RANDOM_0059	0.1540616246498599	0.2333294928170895	0.4201680672268907	0.0944304628515154	0.2142112563375686	0.3305613305613306	0.4896185403541173	0.46018069697878683	0.7374632784256362	0.6400560224089635
RANDOM_0060	0.1328754907241791	0.2440345963080856	0.3809523809523809	0.0611664295874822	0.2154855494925356	0.2283619652040704	0.5704470352555054	0.5244950470133029	0.6548650204440799	0.5103641456582633
RANDOM_0061	0.1042016806722689	0.2243418586950962	0.3282913165266106	0.0804245541087646	0.2009117995408123	0.2817594922858081	0.5416215389983318	0.5221360132745033	0.7388168066304512	0.6820728291316527
RANDOM_0062	0.1084033613445378	0.2296662540756495	0.2726253959634429	0.0716747826208235	0.2156117879503764	0.2609694714957873	0.5047176702780289	0.472060554167008	0.6039717144252423	0.4389355742296918
RANDOM_0063	0.1009818665004319	0.1774203887147447	0.303641456582633	0.105591421380895	0.1773979319010653	0.3242149031622716	0.3487775128846643	0.3300163114015223	0.4630514194824958	0.4061624649859944
RANDOM_0064	0.103641456582633	0.2147056496633466	0.3176470588235294	0.1110624794835321	0.2141385184525358	0.3682022103074734	0.5421211847162466	0.48944755374258203	0.750083251544661	0.5966386554621849
RANDOM_0065	0.1056022408963585	0.2542779366698991	0.2792717086834734	0.0948681474997264	0.2385572006454449	0.361636940584309	0.5857441616686909	0.5814087933153658	0.7614020567924813	0.6148459383753502
RANDOM_0066	0.1464985994397759	0.2427699638440529	0.2789915966386554	0.0813177211119245	0.2029808010796951	0.2747565379144326	0.5223080435291945	0.48916456302372247	0.7566913169458326	0.6240896358543417
RANDOM_0067	0.1001470693680786	0.1857641868801262	0.2834733893557423	0.0268140533949145	0.1925597327361637	0.1677426414268519	0.4453814841729793	0.43093637504411214	0.2406734560898243	0.2585434173669468
RANDOM_0068	0.1123249299719888	0.1884372285420755	0.3207282913165266	0.0305285042127147	0.1690655533344403	0.2492750455118106	0.4491053622277688	0.4308861008999747	0.637607911281102	0.623249299719888
RANDOM_0069	0.0966386554621848	0.2376482713485108	0.2587015903815963	0.0397198818251449	0.1890369724889096	0.1708064339643287	0.4708903583297196	0.43771555937508055	-0.0808195973454575	0.0294117647058823
RANDOM_0070	0.1450980392156863	0.2371004113259023	0.3284715713111272	0.1458287934714966	0.2241669449239178	0.3946821315242368	0.5541449835305989	0.5072823373322414	0.7195902724506429	0.5929971988795518
RANDOM_0071	0.1170868347338935	0.2330272637066456	0.357703081232493	0.076047707626655	0.2210822579519631	0.3069263595579385	0.5349931675845869	0.4702700296953631	0.5916050616267163	0.4983193277310924
RANDOM_0072	0.0859943977591036	0.2189571328014327	0.2809523809523809	0.0563518984571616	0.1837696527060044	0.2410548200021884	0.3653908071867564	0.29818153888264265	0.3670805792754708	0.430812324929972
RANDOM_0073	0.1	0.2026490067955615	0.2918767507002801	0.0830506619980304	0.1970376747908896	0.2824160192581245	0.424111955998279	0.37227409977747217	0.629453953097189	0.5647058823529412
RANDOM_0074	0.0865606837335281	0.1861320570488301	0.2910364145658263	0.088448433346844	0.2147119164305849	0.2519969362074625	0.5375291311855488	0.5044835485722257	0.7715220742945587	0.6817927170868348
RANDOM_0075	0.107563025210084	0.1864007681621104	0.2680672268907563	0.1125019032374323	0.1637752939326504	0.3479260234385035	0.384775805246854	0.3490945232025505	0.4947156033608961	0.3890756302521008
RANDOM_0076	0.1235294117647059	0.2130381510529641	0.3535014005602241	0.0950869898238319	0.1994076769383131	0.3014553014553014	0.5315749363399904	0.5167549656320473	0.7618713576258971	0.692436974789916
