row_type	identity	context	score	plot_unit	eligible_cells	positive_cells	reference_cells	supported_states	eligible_states	supported_cells	excluded_cells	raw_effect	adjusted_effect	supported_cell_raw_effect	attenuation_difference	adjusted_to_raw_ratio	attenuation_fraction	biological_replicate
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U002	4667	442	4225	13	19	4634	33	0.2539416736833695	0.01774725101432605	0.2544472635517616	0.23619442266904345	0.06988711524542617	0.9301128847545739	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U003	8523	2841	5682	19	20	8518	5	0.21217406621708565	0.022950686337691834	0.21250981734163119	0.1892233798793938	0.10816914030487527	0.8918308596951248	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U004	5357	1176	4181	16	20	4696	661	0.114016801948222	0.0358957713631206	0.08323817828589454	0.07812103058510139	0.31482878619435234	0.6851712138056476	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U005	6427	1833	4594	20	20	6427	0	0.2170054846399059	0.017509235950572466	0.21700548463990593	0.19949624868933344	0.08068568395691429	0.9193143160430857	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U006	7784	1092	6692	19	20	7783	1	0.13533606355675873	0.007797395061137175	0.13531828492509482	0.12753866849562157	0.057615057333679706	0.9423849426663203	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U007	3184	563	2621	13	19	3171	13	0.3204423137978037	0.003970250764377084	0.32238485560703745	0.3164720630334266	0.012389907928583606	0.9876100920714164	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U001	2313	676	1637	12	18	1967	346	0.4009827100950309	-0.0054193523382780545	0.41042414196670035	0.40640206243330895	-0.013515177093280893	1.0135151770932809	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U002	2794	291	2503	13	19	2776	18	0.25411051095626686	-0.05287147534978985	0.2500032657314479	0.3069819863060567	-0.20806488936968523	1.2080648893696853	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U003	2694	938	1756	10	14	2448	246	0.37548872812185485	0.12491949823115055	0.3673038701622822	0.2505692298907043	0.33268508180253886	0.6673149181974611	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U004	843	20	823	4	18	345	498	0.25790875925833345	0.13158211677578627	0.2739187963487612	0.12632664248254719	0.5101886308715381	0.4898113691284619	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U005	721	426	295	11	16	655	66	0.33249221946676505	0.022423382424049555	0.39061910422361074	0.3100688370427155	0.06744032224276132	0.9325596777572387	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	U006	1604	87	1517	9	18	813	791	0.13171898727270626	-0.05517609230547278	0.15858742895295236	0.18689507957817902	-0.41889247289184045	1.4188924728918404	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U007	3184	563	2621	13	19	3171	13	0.3232255215894426	0.041311514302643335	0.3246907794526749	0.2819140072867993	0.12781018683022422	0.8721898131697758	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U001	2313	676	1637	12	18	1967	346	0.30528932486732563	0.05070407650259126	0.29100868575009564	0.2545852483647344	0.16608532422359193	0.8339146757764081	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U002	2794	291	2503	13	19	2776	18	0.31302540264229123	0.026783304911753802	0.3137018518802398	0.28624209773053744	0.08556272010409435	0.9144372798959056	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U003	2694	938	1756	10	14	2448	246	0.3531938007397343	0.04040162513160018	0.34070353220713834	0.3127921756081341	0.11438939485059597	0.885610605149404	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U004	843	20	823	4	18	345	498	0.29609974229111136	0.08026139612956466	0.2719295662810314	0.21583834616154668	0.271062026290639	0.728937973709361	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U005	721	426	295	11	16	655	66	0.34166702092683143	0.048958377889738926	0.34705618492432766	0.2927086430370925	0.14329266476152946	0.8567073352384705	patient
PATIENT	AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	U006	1604	87	1517	9	18	813	791	0.14568917097907835	-0.06967582927520505	0.13667645018326574	0.2153650002542834	-0.47824988505982247	1.4782498850598225	patient
