compartment	component	R_n	NR_n	mean_R	mean_NR	raw_R_minus_NR	bootstrap_ci_low	bootstrap_ci_high	units
P	M	4	3	-0.046377060721591465	-0.062063726950782154	0.01568666622919069	-0.0969367783454844	0.1293891415583809	FROZEN_AF35_SCORE
P	O	4	3	-0.06467293347555986	-0.1416566740067159	0.07698374053115603	-0.004486994390285562	0.1604924992673567	FROZEN_AF35_SCORE
P	W	4	3	-0.02615806274226876	0.03487741698969168	-0.06103547973196044	-0.1162542450764155	-0.006188635097338088	FROZEN_AF35_SCORE
P	X	4	3	0.0052629645272233095	0.005524559097228231	-0.0002615945700049213	-0.029527982161063705	0.030453939302051473	FROZEN_AF35_SCORE
P	O_minus_W	4	3	-0.0385148707332911	-0.17653409099640757	0.13801922026311647	0.09125170366836896	0.1867345577580622	FROZEN_AF35_SCORE
