cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	zero_count_spot	inference_unit
Wu_Zenodo_19123188	U001	Responder	1337	1615	0.35028620476337	0.587912588825504	1.13465536520896	11.0635398168039	9.2231578756868	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1455	1595	0.308708942869318	0.425712081696945	1.26278331576268	11.6320409458604	9.30219002560606	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1574	1539	0.20606034803439	0.345919693934363	-0.103953674431618	11.7380111291618	9.26435496028242	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1748	1725	0.207734877725545	0.292482932240105	0.150500780771161	12.2094569124333	9.32918950581456	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1402	1652	0.292966893034156	0.540080338477998	0.288957247024899	11.5862688591944	9.30437701390256	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1716	1706	0.182330742519685	0.293682378168239	-0.305505748476976	12.1863647137502	9.31045716331096	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1543	1857	0.191587221809544	0.344891832495968	-0.310472414832126	11.5270847475281	9.26605886073253	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1695	1894	0.196228822055537	0.262076184624437	0.135918625131596	12.1900550459703	9.32482909846088	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1770	1800	0.214937892204594	0.484504487601919	-0.917905224334525	12.2894666543923	9.35192673603805	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1748	1800	0.18255036746011	0.233062446811424	0.0598199497490255	12.2355440653132	9.32223946447359	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1215	1035	0.390999880355418	0.560478646727149	2.28233132336678	9.94333307045825	8.7787879291047	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1770	1837	0.234537353904035	0.350907460291558	0.356209970024506	11.818246060026	9.30164253038297	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1640	1838	0.264753102045563	0.526657567686021	-0.268724745934684	12.2047517735628	9.38488174145117	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1673	1894	0.24601533956374	0.492852584113367	-0.276166118469924	11.6600170018583	9.30828344630615	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1358	1577	0.248393241632636	0.329996664090226	0.7960912284639	11.532267201759	9.2098402469345	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1640	1800	0.15046804380183	0.370933815473685	-1.23842840959834	11.6801926038588	9.25989215080543	FALSE	patient; spots nested
