identity	context	score	estimate	eligible_patient_n	mean_patient_effect	median_patient_effect	bootstrap_ci_low	bootstrap_ci_high	bootstrap_draws	positive_patient_n	negative_patient_n	zero_patient_n	positive_direction_fraction	loo_mean_min	loo_mean_max	loo_positive_direction_fraction	seed	biological_replicate	within_patient_weighting	raw_mean	adjusted_mean	attenuation_difference	adjusted_to_raw_ratio	attenuation_fraction
AUTHOR_CLONE_ID	EXPANSION	PTPN22	RAW	9	0.2564235086403406	0.2598832717363573	0.20327683914826847	0.3049802425352401	10000	9	0	0	1.0	0.24086998182168	0.2746788570675911	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2564235086403406	0.0334104079728047	0.22301310066753588	0.1302938570256681	0.8697061429743319
AUTHOR_CLONE_ID	EXPANSION	PTPN22	STATE_ADJUSTED	9	0.0334104079728047	0.03363869157156132	0.015794389343036574	0.05141003134033194	10000	8	1	0	0.8888888888888888	0.02690448812491489	0.039443253251643356	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2564235086403406	0.0334104079728047	0.22301310066753588	0.1302938570256681	0.8697061429743319
AUTHOR_CLONE_ID	EXPANSION	AF35	RAW	9	0.16145531480361758	0.17318856626798604	0.13592975046911235	0.18348530808476676	10000	9	0	0	1.0	0.15629099547613579	0.17123355742440036	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.16145531480361758	0.02171056023912447	0.13974475456449312	0.13446791928485977	0.8655320807151402
AUTHOR_CLONE_ID	EXPANSION	AF35	STATE_ADJUSTED	9	0.02171056023912447	0.020234183958230793	0.015418210221598134	0.028631703009097096	10000	9	0	0	1.0	0.01948983860499613	0.02314517572041455	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.16145531480361758	0.02171056023912447	0.13974475456449312	0.13446791928485977	0.8655320807151402
AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	RAW	7	0.2702238889559368	0.3175267195203417	0.21266564089541573	0.32315934120093365	10000	7	0	0	1.0	0.2555429036074843	0.28852420550422914	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2702238889559368	0.04806348045926989	0.2221604084966669	0.17786540133432543	0.8221345986656745
AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	STATE_ADJUSTED	7	0.04806348045926989	0.06200095648495073	0.0015341442928579374	0.0920159945154398	10000	5	2	0	0.7142857142857143	0.035996214789936115	0.06452892819989818	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2702238889559368	0.04806348045926989	0.2221604084966669	0.17786540133432543	0.8221345986656745
AUTHOR_CLONE_ID	PERSISTENCE	AF35	RAW	7	0.19537256638371606	0.21217406621708565	0.1567228678665351	0.2310282250990507	10000	7	0	0	1.0	0.1856110485004405	0.2089318604562984	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.19537256638371606	0.016135229326839477	0.17923733705687658	0.08258697536454288	0.9174130246354572
AUTHOR_CLONE_ID	PERSISTENCE	AF35	STATE_ADJUSTED	7	0.016135229326839477	0.017509235950572466	0.007919224608379545	0.024352084099098517	10000	6	1	0	0.8571428571428571	0.012841805654125954	0.019332867298881607	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.19537256638371606	0.016135229326839477	0.17923733705687658	0.08258697536454288	0.9174130246354572
AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	RAW	7	0.29616346128125165	0.3204423137978037	0.23073673994590557	0.3533474281369745	10000	7	0	0	1.0	0.278693586478955	0.32357087361600917	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.29616346128125165	0.024204046885974686	0.271959414395277	0.08172529717630937	0.9182747028236906
AUTHOR_CLONE_ID	LATER_OBSERVATION	PTPN22	STATE_ADJUSTED	7	0.024204046885974686	0.003970250764377084	-0.026414438473406805	0.07723521724164645	10000	4	3	0	0.5714285714285714	0.006307701904339417	0.03743407008454926	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.29616346128125165	0.024204046885974686	0.271959414395277	0.08172529717630937	0.9182747028236906
AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	RAW	7	0.29688428343368783	0.31302540264229123	0.24221231441449761	0.33357894206716115	10000	7	0	0	1.0	0.2874993638826801	0.3220834688427894	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.29688428343368783	0.031249209370383873	0.26563507406330394	0.10525720327449974	0.8947427967255003
AUTHOR_CLONE_ID	LATER_OBSERVATION	AF35	STATE_ADJUSTED	7	0.031249209370383873	0.041311514302643335	-0.005425298942758372	0.057308459335204724	10000	6	1	0	0.8571428571428571	0.023080511577187074	0.04807004914464869	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.29688428343368783	0.031249209370383873	0.26563507406330394	0.10525720327449974	0.8947427967255003
PAIRED_CDR3_ALPHA_BETA	EXPANSION	PTPN22	RAW	9	0.2574905311660984	0.2649376983926178	0.20542170501845386	0.30754466851355805	10000	9	0	0	1.0	0.24191401802140572	0.2757691419218513	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2574905311660984	0.03444278424790029	0.2230477469181981	0.1337633041957664	0.8662366958042336
PAIRED_CDR3_ALPHA_BETA	EXPANSION	PTPN22	STATE_ADJUSTED	9	0.03444278424790029	0.034885721258336895	0.016982868963748225	0.05189194930624769	10000	8	1	0	0.8888888888888888	0.0278996042494476	0.04025685657262717	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2574905311660984	0.03444278424790029	0.2230477469181981	0.1337633041957664	0.8662366958042336
PAIRED_CDR3_ALPHA_BETA	EXPANSION	AF35	RAW	9	0.1614411559898265	0.17294419016042314	0.13571851159093415	0.1835044514346232	10000	9	0	0	1.0	0.15631981702589645	0.1712453317198263	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.1614411559898265	0.021702345314914828	0.13973881067491167	0.13442882753070995	0.86557117246929
PAIRED_CDR3_ALPHA_BETA	EXPANSION	AF35	STATE_ADJUSTED	9	0.021702345314914828	0.021662500023165537	0.015371817832499784	0.02863899829406247	10000	9	0	0	1.0	0.01954931990111695	0.023176450494926545	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.1614411559898265	0.021702345314914828	0.13973881067491167	0.13442882753070995	0.86557117246929
PAIRED_CDR3_ALPHA_BETA	PERSISTENCE	PTPN22	RAW	7	0.2712424714595843	0.31558281762960694	0.21372064067484914	0.3239425914540641	10000	7	0	0	1.0	0.2561894582623089	0.2896159526929108	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2712424714595843	0.04870887585536697	0.22253359560421732	0.1795768767083539	0.8204231232916461
PAIRED_CDR3_ALPHA_BETA	PERSISTENCE	PTPN22	STATE_ADJUSTED	7	0.04870887585536697	0.0650773641821235	0.0015116899075133011	0.09062869747068313	10000	5	2	0	0.7142857142857143	0.03687330076779089	0.06511598597054265	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2712424714595843	0.04870887585536697	0.22253359560421732	0.1795768767083539	0.8204231232916461
