source	plot_unit	analysis	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligibility	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	between_share	within_share	original_cell_n	retained_fraction
GSE235863	U001	RARE_STATE_GE20	2191	13	0.769097329048405	0.0471737482528136	0.240110756398921	0.163512026046313	0.0765987303526081	-5.55111512312578e-17	0.0981572024329318	0.103203671933524	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.68098584377725	0.319014156222751	2243	0.976816763263486
GSE235863	U002	RARE_STATE_GE20	1296	9	0.682951095493109	0.0381802056527553	0.246376193513316	0.171229873971142	0.0751463195421733	0	0.0942078691205983	0.0973575500498478	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.694993584929658	0.305006415070342	1375	0.942545454545455
GSE235863	U003	RARE_STATE_GE20	1738	8	0.721830512338039	0.0696970631655493	0.0965146648473114	0.0429609717613889	0.0535536930859225	6.93889390390723e-18	0.0590296952161846	0.0637889835560693	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	0.445123772945326	0.554876227054674	1790	0.970949720670391
GSE235863	U004	RARE_STATE_GE20	1114	7	1.06399367879347	0.0609696627698102	0.282378398604266	0.169141330431585	0.113237068172681	1.38777878078145e-17	0.137091136093128	0.145768228780009	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.59898820613621	0.40101179386379	1189	0.936921783010934
GSE235863	U005	RARE_STATE_GE20	1429	9	1.18288095439275	0.0809442447150433	0.178556180508574	0.197902312309005	-0.0193461318004315	1.38777878078145e-17	-0.0261184072100749	-0.0324534301562176	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	NA	NA	1459	0.97943797121316
GSE235863	U006	RARE_STATE_GE20	988	6	0.690633911596997	0.0316045158167112	0.151147054293394	0.0913880262127469	0.0597590280806474	-1.38777878078145e-17	0.0675049240718401	0.0497928342974482	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.604629886040332	0.395370113959668	1032	0.957364341085271
