cohort	gene	gene_z_vs_canonical_spearman_rho	covariance_share_of_canonical_raw_variance	loo_spearman_rho	loo_rho_loss_from_one	loo_max_normalized_rank_displacement	catastrophic_dependency	catastrophic_rule	canonical_gene_removed	outcome_loaded
ERP117672	CD3D	0.8722326454033773	0.034692551084711046	0.9981238273921202	0.0018761726078797558	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	CD3E	0.9022514071294561	0.036813171607972595	0.998874296435272	0.0011257035647279645	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	CD3G	0.8729831144465292	0.03578394832193572	0.9992495309568482	0.0007504690431517913	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	CD247	0.7787992495309569	0.03381095599849696	0.9986866791744841	0.00131332082551594	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	LCK	0.8566604127579738	0.03597950016030341	0.9979362101313323	0.0020637898686677314	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	FYN	0.6938086303939963	0.02515003908130419	0.9984990619136962	0.0015009380863038047	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	ZAP70	0.7737335834896811	0.030689560074407242	0.998874296435272	0.0011257035647279645	0.02564102564102564	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	LAT	0.6622889305816136	0.02573944289214385	0.9984990619136962	0.0015009380863038047	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	LCP2	0.8634146341463416	0.033973318905072325	0.9990619136960602	0.0009380863039397669	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	TRAT1	0.6532201329949876	0.029592538852189786	0.9986866791744841	0.00131332082551594	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	NFKB1	0.6009380863039401	0.02162678571465963	0.9977485928705443	0.002251407129455707	0.07692307692307693	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	REL	0.41200750469043157	0.016161328628628263	0.9975609756097563	0.0024390243902436826	0.07692307692307693	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	RELA	0.2437148217636023	0.0051997708401066	0.9971857410881801	0.0028142589118198558	0.07692307692307693	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	NFKBIA	0.43489681050656664	0.02143996932070921	0.9986866791744841	0.00131332082551594	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	TNFAIP3	0.7553470919324579	0.02650611559893954	0.9975609756097563	0.0024390243902436826	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	STAT1	0.8125703564727956	0.0325635392456485	0.9984990619136962	0.0015009380863038047	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	IRF1	0.8544090056285178	0.03513756069204157	0.9984990619136962	0.0015009380863038047	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	IFIT1	0.2812382739212008	0.012955918031305679	0.9973733583489681	0.00262664165103188	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	IFIT2	0.34502814258911824	0.017754936212331256	0.9975609756097563	0.0024390243902436826	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	IFIT3	0.3812382739212008	0.02267735489376614	0.9973733583489681	0.00262664165103188	0.07692307692307693	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	ISG15	0.5697936210131334	0.02430674749478581	0.9984990619136962	0.0015009380863038047	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	MX1	0.5048780487804879	0.02161545831755977	0.9973733583489681	0.00262664165103188	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	OAS1	0.45609756097560983	0.020171298732985732	0.9984990619136962	0.0015009380863038047	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	CXCL9	0.8159474671669794	0.034175270079310066	0.9990619136960602	0.0009380863039397669	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	CXCL10	0.7658536585365855	0.030987930002542904	0.9990619136960602	0.0009380863039397669	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
