component	estimate	bootstrap_ci_low	bootstrap_ci_high	bootstrap_draws	seed	R_n	NR_n	exact_two_sided_p	exact_assignments	mean_R_change	mean_NR_change
THETA_CELL	-0.013305089364233181	-0.06803036157688683	0.040160836841316924	10000	2026090821	4	3	0.7714285714285715	35.0	0.010071950670009749	0.02337704003424293
THETA_CLONE	-0.0033391156887487856	-0.030700363091727315	0.025643951287182425	10000	2026090821	4	3	0.9142857142857143	35.0	0.006090885122107655	0.00943000081085644
THETA_SIZE	-0.009965973675484395	-0.04883637738420518	0.028904430033236388	10000	2026090821	4	3	0.6285714285714286	35.0	0.003981065547902094	0.01394703922338649
THETA_BALANCE	0.00662685798673561	-0.03714568467627258	0.05144518276741125	10000	2026090821	4	3	NA	NA	NA	NA
