dataset	comparator_paper_id	comparator	candidate	variable	variable_role	n	n_R	n_NR	R_mean	NR_mean	R_minus_NR	hedges_g	hedges_g_ci_low	hedges_g_ci_high	bootstrap_draws	firth_or_per_sd	firth_ci_low	firth_ci_high	firth_p	firth_converged	firth_convergence_max	permutation_p_two_sided	permutation_method	permutation_allocations_or_draws	loo_hedges_g_min	loo_hedges_g_max	loo_positive_fraction	loo_same_direction_fraction	biological_replicate	seed	residualization_timing	residualization_role
ERP117672	S007	S007_ISG_20	AF35	AF35_residual_on_S007_ISG_20	RESPONSE_BLIND_RESIDUAL_SPECIFICITY	35	6	29	0.6271974060707765	-0.04559277532406442	0.6727901813948409	0.6632567949253964	-0.3210239689377503	1.7168113836521697	20000	1.9372069319871459	0.7957694183487439	5.971983859076282	0.15119789210806078	TRUE	6.356391376398744e-7	0.14047413686882376	EXACT_ALL_LABEL_ALLOCATIONS	1623160	0.456773680622598	1.1684142283833372	1	1	patient	1900000200	BEFORE_OUTCOME_JOIN_ALL_RESPONSE_BLIND_SAMPLES	SPECIFICITY_FALSIFICATION_ONLY
GSE302495	S007	S007_ISG_20	AF35	AF35_residual_on_S007_ISG_20	RESPONSE_BLIND_RESIDUAL_SPECIFICITY	38	12	26	0.20269125435605187	-0.09354980970279315	0.29624106405884504	0.2889070464545569	-0.2805354481480958	0.8566899383374187	20000	1.322689772692142	0.6772632361163468	2.8057411633371863	0.42091976005631204	TRUE	0.0000020689686135200943	0.40377981100944954	FIXED_SEED_MONTE_CARLO_LABEL_PERMUTATION	20000	0.1812570931331398	0.38325831086130013	1	1	patient	1900000300	BEFORE_OUTCOME_JOIN_ALL_RESPONSE_BLIND_SAMPLES	SPECIFICITY_FALSIFICATION_ONLY
