dataset	metric	metric_column	n	n_responder	n_nonresponder	responder_mean	nonresponder_mean	responder_minus_nonresponder	hedges_g	hedges_g_ci_low	hedges_g_ci_high	bootstrap_draws	firth_or_per_sd	firth_ci_low	firth_ci_high	firth_p	permutation_p_two_sided	permutation_draws	loo_hedges_g_min	loo_hedges_g_max	loo_same_direction_fraction	biological_replicate	seed
GSE104580	PTPN22	PTPN22_z	147	81	66	0.0581838663750071	-0.0714074723693268	0.129591338744334	0.128747187109785	-0.194488709443311	0.463213463717208	20000	1.13469085988114	0.822222795405532	1.58630850889724	0.444104751761855	0.438678066096695	20000	0.0982284361246319	0.18544594376952	1	patient	20260829
GSE104580	PTPN22_activation_feedback_35	AF_program_z	147	81	66	0.220826439419267	-0.27101426656001	0.491840705979277	0.503003976883334	0.158642095046333	0.887750604542203	20000	1.70785974121343	1.19662361998104	2.53102988062741	0.00261919332583804	0.00259987000649968	20000	0.478831566089134	0.611161751394731	1	patient	20260829
GSE104580	broad_immune_abundance	broad_immune_z	147	81	66	0.0796467641158919	-0.0977483014149583	0.17739506553085	0.176563885683639	-0.148955527208837	0.509074348945966	20000	1.19187195174235	0.862356909369439	1.66336161189769	0.289015554358414	0.291285435728214	20000	0.148170907834558	0.223204904586927	1	patient	20260829
GSE104580	PTPN22_residual_after_broad_immune	PTPN22_broad_residual_z	147	81	66	-0.0091526901596409	0.0112328470141047	-0.0203855371737456	-0.0202113876574414	-0.348131636817812	0.303624902127709	20000	0.980178080046059	0.708724951116072	1.35422681647407	0.902771426988374	0.903704814759262	20000	-0.0604996060514625	0.018254172038645	0.931972789115646	patient	20260829
GSE104580	AF_program_residual_after_broad_immune	AF_broad_residual_z	147	81	66	0.280164764551919	-0.343838574677355	0.624003339229273	0.651017149593373	0.316676844989982	1.02712741262635	20000	2.02226941782776	1.3921733956442	3.08078803302219	0.000116349062670995	9.99950002499875e-05	20000	0.624967402150028	0.746483224203513	1	patient	20260829
