released_t_cell_state	program	n_patients	patient_mean_score	patient_median_score	source_level
CD4_C05_GNLY	effector_differentiation	9	0.448853573798	0.405636272147	unweighted_patient_state_means
CD4_C05_GNLY	exhaustion	9	-0.164152284846	-0.15919438124	unweighted_patient_state_means
CD4_C05_GNLY	proliferation	9	-0.0629148319453	0.000873199059174	unweighted_patient_state_means
CD4_C06_CXCL13	AP1	9	0.124149212231	0.0631982938311	unweighted_patient_state_means
CD4_C06_CXCL13	IFNG_TNF	9	-0.023392866948	0.014605430047	unweighted_patient_state_means
CD4_C06_CXCL13	IFN_response	9	-0.0231651467857	0.00158505389134	unweighted_patient_state_means
CD4_C06_CXCL13	NFAT	9	0.0583566606087	0.0328220069287	unweighted_patient_state_means
CD4_C06_CXCL13	NFkB	9	-0.0320147675917	-0.0256476689007	unweighted_patient_state_means
CD4_C06_CXCL13	TCR_activation	9	0.0538930687606	0.0276902785373	unweighted_patient_state_means
CD4_C06_CXCL13	Treg	9	0.446230599622	0.459161219742	unweighted_patient_state_means
CD4_C06_CXCL13	checkpoint	9	0.342829048555	0.319855063558	unweighted_patient_state_means
CD4_C06_CXCL13	cytotoxicity	9	-0.511351037463	-0.507503482699	unweighted_patient_state_means
CD4_C06_CXCL13	effector_differentiation	9	-0.244752508826	-0.247841441632	unweighted_patient_state_means
CD4_C06_CXCL13	exhaustion	9	0.565847448153	0.529861508946	unweighted_patient_state_means
CD4_C06_CXCL13	proliferation	9	0.0305041966182	0.017251059002	unweighted_patient_state_means
CD4_C07_CTLA4	AP1	9	0.126613943687	0.103184753205	unweighted_patient_state_means
CD4_C07_CTLA4	IFNG_TNF	9	0.0163528967739	0.0209037202312	unweighted_patient_state_means
CD4_C07_CTLA4	IFN_response	9	0.0910161950669	0.0966370929873	unweighted_patient_state_means
CD4_C07_CTLA4	NFAT	9	-0.0780121773941	-0.1064105337	unweighted_patient_state_means
CD4_C07_CTLA4	NFkB	9	0.0656686660188	0.0519685693911	unweighted_patient_state_means
CD4_C07_CTLA4	TCR_activation	9	-0.0125119565672	-0.0813960758393	unweighted_patient_state_means
CD4_C07_CTLA4	Treg	9	1.73910068315	1.75710694536	unweighted_patient_state_means
CD4_C07_CTLA4	checkpoint	9	0.783365669158	0.760469433063	unweighted_patient_state_means
CD4_C07_CTLA4	cytotoxicity	9	-0.504418771896	-0.518115471858	unweighted_patient_state_means
CD4_C07_CTLA4	effector_differentiation	9	-0.325796371583	-0.348875845245	unweighted_patient_state_means
CD4_C07_CTLA4	exhaustion	9	0.798493690542	0.781157467868	unweighted_patient_state_means
CD4_C07_CTLA4	proliferation	9	-0.0784573530609	-0.0791183695869	unweighted_patient_state_means
CD4_C08_FOXP3	AP1	9	-0.265104441839	-0.293457414347	unweighted_patient_state_means
CD4_C08_FOXP3	IFNG_TNF	9	-0.264452121252	-0.258068172909	unweighted_patient_state_means
CD4_C08_FOXP3	IFN_response	9	0.148853079704	0.110849596447	unweighted_patient_state_means
CD4_C08_FOXP3	NFAT	9	-0.212491270041	-0.189599671739	unweighted_patient_state_means
CD4_C08_FOXP3	NFkB	9	-0.0726564271755	-0.0849541157074	unweighted_patient_state_means
CD4_C08_FOXP3	TCR_activation	9	0.145810620087	0.0995457555975	unweighted_patient_state_means
CD4_C08_FOXP3	Treg	9	0.638146909045	0.661001200741	unweighted_patient_state_means
CD4_C08_FOXP3	checkpoint	9	0.090657836537	0.114404312129	unweighted_patient_state_means
CD4_C08_FOXP3	cytotoxicity	9	-0.551852417151	-0.552969806875	unweighted_patient_state_means
CD4_C08_FOXP3	effector_differentiation	9	-0.425118076644	-0.422997070887	unweighted_patient_state_means
CD4_C08_FOXP3	exhaustion	9	0.103182734701	0.0958952346918	unweighted_patient_state_means
CD4_C08_FOXP3	proliferation	9	-0.0417647968687	-0.0368892477521	unweighted_patient_state_means
CD4_C09_MKI67	AP1	9	0.225705521504	0.253335252744	unweighted_patient_state_means
CD4_C09_MKI67	IFNG_TNF	9	0.0831175976245	0.00537956460349	unweighted_patient_state_means
CD4_C09_MKI67	IFN_response	9	0.198413944254	0.178893035412	unweighted_patient_state_means
CD4_C09_MKI67	NFAT	9	0.143313018359	0.125160129279	unweighted_patient_state_means
CD4_C09_MKI67	NFkB	9	0.109507694897	0.141252684547	unweighted_patient_state_means
CD4_C09_MKI67	TCR_activation	9	0.000357564726144	-0.0352959486308	unweighted_patient_state_means
CD4_C09_MKI67	Treg	9	0.907145695934	1.04951300902	unweighted_patient_state_means
CD4_C09_MKI67	checkpoint	9	0.422256195654	0.474006011558	unweighted_patient_state_means
CD4_C09_MKI67	cytotoxicity	9	-0.48609781784	-0.495492928934	unweighted_patient_state_means
CD4_C09_MKI67	effector_differentiation	9	-0.226798765397	-0.196502001909	unweighted_patient_state_means
CD4_C09_MKI67	exhaustion	9	0.476053866004	0.637563536183	unweighted_patient_state_means
CD4_C09_MKI67	proliferation	9	4.39019436766	4.13179759844	unweighted_patient_state_means
CD8_C01_LEF1	AP1	9	-0.23397117383	-0.282795376667	unweighted_patient_state_means
CD8_C01_LEF1	IFNG_TNF	9	-0.319668359993	-0.332173902101	unweighted_patient_state_means
CD8_C01_LEF1	IFN_response	9	-0.0525649028577	-0.0667308359531	unweighted_patient_state_means
CD8_C01_LEF1	NFAT	9	-0.174460971196	-0.213051751649	unweighted_patient_state_means
CD8_C01_LEF1	NFkB	9	-0.103167890912	0.0577584970036	unweighted_patient_state_means
CD8_C01_LEF1	TCR_activation	9	-0.0423778029434	-0.10519194637	unweighted_patient_state_means
CD8_C01_LEF1	Treg	9	-0.328905658027	-0.350195834134	unweighted_patient_state_means
CD8_C01_LEF1	checkpoint	9	-0.259940365766	-0.280111685868	unweighted_patient_state_means
CD8_C01_LEF1	cytotoxicity	9	-0.441692375458	-0.449964980302	unweighted_patient_state_means
CD8_C01_LEF1	effector_differentiation	9	-0.433083803488	-0.454174918688	unweighted_patient_state_means
CD8_C01_LEF1	exhaustion	9	-0.264711800505	-0.270196167831	unweighted_patient_state_means
CD8_C01_LEF1	proliferation	9	-0.145186405256	-0.149814757681	unweighted_patient_state_means
CD8_C02_GPR183	AP1	9	0.024482287093	-0.0107174939595	unweighted_patient_state_means
CD8_C02_GPR183	IFNG_TNF	9	-0.239229008665	-0.264888241427	unweighted_patient_state_means
CD8_C02_GPR183	IFN_response	9	-0.0805030204314	-0.089704484959	unweighted_patient_state_means
CD8_C02_GPR183	NFAT	9	-0.0815717262255	-0.155045336527	unweighted_patient_state_means
CD8_C02_GPR183	NFkB	9	0.207727673852	0.248429467023	unweighted_patient_state_means
CD8_C02_GPR183	TCR_activation	9	-0.00541911706521	0.00546504456031	unweighted_patient_state_means
CD8_C02_GPR183	Treg	9	-0.106214366371	-0.12394576179	unweighted_patient_state_means
CD8_C02_GPR183	checkpoint	9	-0.121208300082	-0.166301426521	unweighted_patient_state_means
CD8_C02_GPR183	cytotoxicity	9	-0.369746212324	-0.427516509129	unweighted_patient_state_means
CD8_C02_GPR183	effector_differentiation	9	-0.355696960316	-0.424010653804	unweighted_patient_state_means
CD8_C02_GPR183	exhaustion	9	-0.122834996754	-0.15475526342	unweighted_patient_state_means
CD8_C02_GPR183	proliferation	9	-0.0395086350511	-0.0039819956151	unweighted_patient_state_means
CD8_C03_CX3CR1	AP1	9	-0.13632230694	-0.0676792488329	unweighted_patient_state_means
CD8_C03_CX3CR1	IFNG_TNF	9	0.212988901092	0.260917484294	unweighted_patient_state_means
CD8_C03_CX3CR1	IFN_response	9	0.0334710240657	0.0117172648473	unweighted_patient_state_means
CD8_C03_CX3CR1	NFAT	9	-0.0573712514556	-0.0295124142006	unweighted_patient_state_means
CD8_C03_CX3CR1	NFkB	9	-0.155287672739	-0.00856578629916	unweighted_patient_state_means
CD8_C03_CX3CR1	TCR_activation	9	0.176211732806	0.171380891397	unweighted_patient_state_means
CD8_C03_CX3CR1	Treg	9	-0.238010517491	-0.216998505219	unweighted_patient_state_means
CD8_C03_CX3CR1	checkpoint	9	-0.10033135946	-0.103511320066	unweighted_patient_state_means
CD8_C03_CX3CR1	cytotoxicity	9	1.49094104977	1.52499235541	unweighted_patient_state_means
CD8_C03_CX3CR1	effector_differentiation	9	0.776796868117	0.766039960122	unweighted_patient_state_means
CD8_C03_CX3CR1	exhaustion	9	-0.0874774424943	-0.102981054424	unweighted_patient_state_means
CD8_C03_CX3CR1	proliferation	9	-0.0129764436211	0.0216676617187	unweighted_patient_state_means
CD8_C04_GIMAP4	AP1	9	-0.234406637756	-0.197591270204	unweighted_patient_state_means
CD8_C04_GIMAP4	IFNG_TNF	9	0.195035817828	0.113266995453	unweighted_patient_state_means
CD8_C04_GIMAP4	IFN_response	9	-0.0497533421657	0.00653653684095	unweighted_patient_state_means
CD8_C04_GIMAP4	NFAT	9	-0.106208636774	-0.0911950034473	unweighted_patient_state_means
CD8_C04_GIMAP4	NFkB	9	-0.463909110677	-0.474739315166	unweighted_patient_state_means
CD8_C04_GIMAP4	TCR_activation	9	0.189972816529	0.243193772574	unweighted_patient_state_means
CD8_C04_GIMAP4	Treg	9	-0.216875014683	-0.203860478907	unweighted_patient_state_means
CD8_C04_GIMAP4	checkpoint	9	-0.0730483618049	-0.0794886049663	unweighted_patient_state_means
CD8_C04_GIMAP4	cytotoxicity	9	0.809633796204	0.880335230753	unweighted_patient_state_means
