component	R_n	NR_n	mean_R	mean_NR	raw_R_minus_NR	bootstrap_ci_low	bootstrap_ci_high	units
O_CELL	4	3	-0.06467293347555986	-0.1416566740067159	0.07698374053115603	-0.004486994390285562	0.1604924992673567	FROZEN_K_ALPHA_AF35_UNITS
O_CLONE	4	3	-0.15049919542516876	-0.16604392887989405	0.01554473345472529	-0.015140385691073815	0.04598990739058481	FROZEN_K_ALPHA_AF35_UNITS
D_SIZE	4	3	0.08582626194960889	0.024387254873178183	0.06143900707643071	0.006354836868280211	0.11900944553699351	FROZEN_K_ALPHA_AF35_UNITS
BALANCE	4	3	-0.23632545737477764	-0.19043118375307225	-0.04589427362170542	-0.08234537600599368	-0.00893845512861639	FROZEN_K_ALPHA_AF35_UNITS
