source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	C_total_CD8	C_between_CD8	C_within_CD8
GSE235863	U006	PRIMARY	CD8	308	8	0.759314150451671	0.0342245205335381	0.0582638943281011	0.0400915817496717	0.0181723125784295	-3.46944695195361e-17	0.0198949708426588	0.01023335996761	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.0582638943281011	0.0400915817496717	0.0181723125784295
GSE235863	U001	PRIMARY	CD8	1333	11	0.767689926157466	0.0416718500340087	0.168282793819836	0.0590388502314853	0.10924394358835	2.77555756156289e-17	0.12275629515815	0.127209525776716	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	0.168282793819836	0.0590388502314853	0.10924394358835
GSE235863	U002	PRIMARY	CD8	646	11	0.747599281386986	0.0357942358201525	0.114691013199269	0.0715581864677131	0.0431328267315558	6.93889390390723e-18	0.0485468432738447	0.0445969797012728	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.114691013199269	0.0715581864677131	0.0431328267315558
GSE235863	U003	PRIMARY	CD8	627	8	0.852682939593493	0.0735842335564399	0.010984908190274	0.0191048168852326	-0.00811990869495856	8.67361737988404e-18	-0.0089347838890144	-0.00436655942381163	True	ELIGIBLE	True	1	1	-1	TOTAL_NEAR_ZERO	0.010984908190274	0.0191048168852326	-0.00811990869495856
GSE235863	U004	PRIMARY	CD8	326	9	0.977464382333023	0.0525262822385367	0.259505797220609	0.131968723569962	0.127537073650648	0	0.151798115920801	0.152221401513355	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.259505797220609	0.131968723569962	0.127537073650648
GSE235863	U005	PRIMARY	CD8	829	9	1.18396745523577	0.0659516452762532	0.024305584616863	0.0743590055831902	-0.0500534209663273	2.08166817117217e-17	-0.0576983218568939	-0.0552749995787903	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	0.024305584616863	0.0743590055831902	-0.0500534209663273
