gene_rank	gene	dataset	contrast	condition	frozen_author_log_fc	direction	author_zscore	author_adjusted_p	donor_n	inference_unit	source_url	source_etag	source_type	new_endpoint_fitted
17	IRF1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.1660445405174849	NEGATIVE	-1.6203383655412624	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
18	IFIT1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.5491780829734835	NEGATIVE	-1.1425199904378298	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
19	IFIT2	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.1592030170098155	NEGATIVE	-0.24271511219571001	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
20	IFIT3	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.814723662874345	NEGATIVE	-1.995572758692886	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
21	ISG15	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.2441696529784298	NEGATIVE	-1.7676688319005933	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
22	MX1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.252314278036319	NEGATIVE	-2.00856739459046	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
23	OAS1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.1763844556555788	NEGATIVE	-1.4510017402254802	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
24	CXCL9	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.2331896216382732	NEGATIVE	-0.052375181628195995	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
25	CXCL10	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.4078367926949831	NEGATIVE	-0.25345977295392175	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
26	IFNG	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0206372155100546	POSITIVE	0.06037929425409393	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
27	TNF	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0150607232318998	POSITIVE	0.08081874256694535	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
28	CCL5	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.5541796755007545	POSITIVE	1.653684614138933	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
29	NKG7	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0970644433851384	POSITIVE	0.39674434857285984	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
30	PRF1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.2670417611199802	POSITIVE	1.63596454452803	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
31	GZMB	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.4683918415484824	POSITIVE	1.2845896195700452	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
32	PDCD1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.6563856816810499	NEGATIVE	-0.8645814255659527	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
33	LAG3	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.4360550973958041	POSITIVE	0.7179708830573391	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
