gene	system	condition	contrast	native_effect	orientation_factor	eligible	is_AF35	is_PTPN22	oriented_effect	rank_score	average_rank	percentile_rank	gene_rank
LAG3	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.4360550973958041	-1	True	True	False	-0.4360550973958041	-0.9452441159307527	282.0	0.027377942034623615	33
TIGIT	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.409641260564801	-1	True	True	False	0.409641260564801	0.8940867535498931	9738.0	0.9470433767749465	34
TOX	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-1.1307848304206445	-1	True	True	False	1.1307848304206445	0.9872592880762499	10217.0	0.9936296440381249	35
CD3D	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0711997788309305	-1	True	True	False	-0.0711997788309305	-0.4846333398171562	2650.0	0.2576833300914219	1
CD3E	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0771105415136435	-1	True	True	False	-0.0771105415136435	-0.5081696168060689	2529.0	0.24591519159696557	2
CD3G	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0707488371906027	-1	True	True	False	-0.0707488371906027	-0.48171561952927444	2665.0	0.2591421902353628	3
CD247	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.041459626019104	-1	True	True	False	-0.041459626019104	-0.30743046099980553	3561.0	0.34628476950009723	4
LCK	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.1035014614246116	-1	True	True	False	0.1035014614246116	0.6030927835051547	8242.0	0.8015463917525774	5
FYN	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0003003978233417	-1	True	True	False	-0.0003003978233417	-9.725734292942434e-05	5141.0	0.4999513713285353	6
ZAP70	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.173363124332558	-1	True	True	False	0.173363124332558	0.7540361797315698	9018.0	0.8770180898657849	7
LAT	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.088887640477073	-1	True	True	False	-0.088887640477073	-0.5593269791869286	2266.0	0.2203365104065357	8
LCP2	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.100776371255999	-1	True	True	False	-0.100776371255999	-0.6011476366465669	2051.0	0.19942618167671658	9
TRAT1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0907815785899966	-1	True	True	False	-0.0907815785899966	-0.5663295078778448	2230.0	0.21683524606107762	10
NFKB1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0698710336394935	-1	True	True	False	0.0698710336394935	0.4774362964403813	7596.0	0.7387181482201907	11
REL	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0577242932834232	-1	True	True	False	0.0577242932834232	0.4111067885625366	7255.0	0.7055533942812683	12
RELA	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.1397570478296437	-1	True	True	False	0.1397570478296437	0.6982104648900993	8731.0	0.8491052324450497	13
NFKBIA	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0617160976197332	-1	True	True	False	0.0617160976197332	0.43658821241003687	7386.0	0.7182941062050184	14
TNFAIP3	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0287179864667331	-1	True	True	False	-0.0287179864667331	-0.21639758801789533	4029.0	0.39180120599105234	15
