cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	inference_unit
GSE238264	U012	Responder	1492	1263	0	0.493316858072831	-1.29359452120804	7.12608727329912	6.51025834052315	patient; spots nested
GSE238264	U012	Responder	442	1460	0.173796512229246	0.781245458547088	0.258940529720334	9.79361688140042	8.35796296584568	patient; spots nested
GSE238264	U012	Responder	316	1107	0.13608862482958	0.560546509305435	0.180088242837563	9.14857134557855	7.98480338973441	patient; spots nested
GSE238264	U012	Responder	367	1196	0.12699779600587	0.449786550878074	0.0511492886598649	9.46133252611013	8.13446757027756	patient; spots nested
GSE238264	U012	Responder	202	1525	0.173222058803979	0.684168369823386	0.827839625455376	8.50045386741194	7.57301725605255	patient; spots nested
GSE238264	U012	Responder	1428	1505	0.063105256246487	0.968142326583886	-0.942769102716932	7.11882624906208	6.41836493593621	patient; spots nested
GSE238264	U012	Responder	1656	1154	0	0.386802216100092	-0.611963895069875	4.97673374242057	4.74493212836325	patient; spots nested
GSE238264	U012	Responder	556	1086	0.186413684109251	0.664868984950056	0.745363969259764	9.46807856805489	8.20985248130127	patient; spots nested
GSE238264	U012	Responder	733	1306	0.157476286024066	0.625035863975454	0.744213972367635	8.30721262662831	7.50439155916124	patient; spots nested
GSE238264	U012	Responder	1251	1593	0.481880895521004	1.36200156450875	4.97727677102171	7.95577578153419	7.11151211649616	patient; spots nested
GSE238264	U012	Responder	443	976	0.0600355062150466	0.707494925193828	-1.0331462705241	8.59025776227324	7.61529833982581	patient; spots nested
GSE238264	U012	Responder	252	1437	0.101651949935532	0.459619228765814	-0.00166993829022181	8.38913252134872	7.45298232946546	patient; spots nested
GSE238264	U012	Responder	1202	933	0.0390539353834343	0.708056368910576	-1.16362917190621	8.13798045445214	7.43897159239586	patient; spots nested
GSE238264	U012	Responder	1352	1593	0.229292587016969	1.18955869983693	1.58192683907271	6.60800062529609	6.10255859461357	patient; spots nested
GSE238264	U012	Responder	1087	1615	0	0.607936939154234	-1.10139349076043	5.90536184805457	5.57594910314632	patient; spots nested
GSE238264	U012	Responder	1632	670	0.102224037275541	0.739670499026703	-0.34280341637585	8.37953902611744	7.46393660446893	patient; spots nested
GSE238264	U012	Responder	1049	1153	0.118793098137119	0.881999875292626	-0.169347014502735	8.11252776347864	7.3038432252777	patient; spots nested
GSE238264	U012	Responder	353	1570	0.045801956118532	0.766656088905151	-1.07924789670607	7.83241092718792	7.13409372119287	patient; spots nested
GSE238264	U012	Responder	442	1152	0.104264594961246	0.601563870485903	-0.561293125695992	9.6484662623239	8.26821888006751	patient; spots nested
GSE238264	U012	Responder	227	1569	0.129747489142298	0.689782452791373	0.239372384074304	8.18785544369562	7.37963215260955	patient; spots nested
GSE238264	U012	Responder	393	800	0.140274805689716	0.705632718103683	0.503303063748743	7.79069603117474	7.09090982207998	patient; spots nested
GSE238264	U012	Responder	1746	736	0.199383935211047	0.677676944855884	1.48417739328656	7.65822752616135	6.92559519711047	patient; spots nested
GSE238264	U012	Responder	480	1614	0.0461123721014581	0.604968230963569	-0.885612575870758	7.8188324438034	7.07157336421153	patient; spots nested
GSE238264	U012	Responder	884	1526	0.0909218405448724	0.809847840833703	-0.436079252433988	7.84737183615979	7.11882624906208	patient; spots nested
