source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	removed_state	removed_cell_n
GSE235863	U002	LOSO_CD4_C04_GZMK	ALL	973	19	0.731332266719854	0.0424148948630516	0.240197741930904	0.190443679198855	0.0497540627320491	-6.93889390390723e-18	0.0653543899102953	0.0663471256228852	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C04_GZMK	402
GSE235863	U003	LOSO_CD4_C04_GZMK	ALL	1633	16	0.740479099434878	0.0699216042762107	0.0756207898608462	0.0316044727891262	0.04401631707172	-6.93889390390723e-18	0.0481667430962057	0.0547290624654165	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C04_GZMK	157
GSE235863	U004	LOSO_CD4_C04_GZMK	ALL	872	16	1.08340638001958	0.0627935325631014	0.243145587857369	0.147714948482684	0.0954306393746849	-2.77555756156289e-17	0.114187553254391	0.131085991442701	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C04_GZMK	317
GSE235863	U005	LOSO_CD4_C04_GZMK	ALL	1205	17	1.18904489885314	0.0791746874673828	0.102786749913538	0.128852979224655	-0.0260662293111162	-6.93889390390723e-18	-0.0326886072686017	-0.0458225039046846	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C04_GZMK	254
GSE235863	U006	LOSO_CD4_C05_GNLY	ALL	1032	16	0.687892015007721	0.0335562839666595	0.145815214142113	0.0869886196921841	0.058826594449929	3.46944695195361e-17	0.0674289121363768	0.0515614789857821	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C05_GNLY	0
GSE235863	U001	LOSO_CD4_C05_GNLY	ALL	2237	19	0.76838054976454	0.0473083240295875	0.246317285144531	0.168250283842518	0.0780670013020131	2.77555756156289e-17	0.100690197847849	0.106526507552535	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C05_GNLY	6
GSE235863	U002	LOSO_CD4_C05_GNLY	ALL	1371	19	0.688545539622126	0.038884347258743	0.250627891857171	0.17796459480387	0.0726632970533004	-1.38777878078145e-17	0.0933695392708006	0.0995401786037058	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C05_GNLY	4
GSE235863	U003	LOSO_CD4_C05_GNLY	ALL	1789	16	0.716134110061461	0.0704201568802491	0.0984958223789044	0.0483007553125444	0.05019506706636	0	0.0558471693112154	0.0592279515085446	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C05_GNLY	1
GSE235863	U004	LOSO_CD4_C05_GNLY	ALL	1189	17	1.0424973128862	0.0627205179636984	0.284065993444119	0.169075384028297	0.114990609415822	0	0.140884068110793	0.151524289668881	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C05_GNLY	0
GSE235863	U005	LOSO_CD4_C05_GNLY	ALL	1457	17	1.1849039893405	0.0812311712354943	0.17670493078778	0.199814462390821	-0.0231095316030411	-2.08166817117217e-17	-0.0314777829742936	-0.0392848157523709	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C05_GNLY	2
GSE235863	U006	LOSO_CD4_C06_CXCL13	ALL	1030	15	0.688358434002525	0.0336023617811636	0.145101884876241	0.087031128227839	0.058070756648402	-6.93889390390723e-18	0.0665668626694524	0.0508261207682416	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C06_CXCL13	2
GSE235863	U001	LOSO_CD4_C06_CXCL13	ALL	2176	19	0.770746864956162	0.0474958774852973	0.246995266237343	0.169791851373273	0.07720341486407	-4.16333634234434e-17	0.10016995522425	0.10542280892798	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C06_CXCL13	67
