context_family	context_level	sub_cluster	value	n_patients
Eligible persistence	Persistent within tissue	CD8_C02_GPR183	0.0105867416274178	7
Eligible persistence	Persistent within tissue	CD8_C03_CX3CR1	0.334296452822618	7
Eligible persistence	Persistent within tissue	CD8_C04_GIMAP4	0.0242147580653654	7
Eligible persistence	Persistent within tissue	CD8_C05_CCR7	0.00659233267924297	7
Eligible persistence	Persistent within tissue	CD8_C06_IKZF2	0.046594652264941	7
Eligible persistence	Persistent within tissue	CD8_C07_KIR2DL4	0.0119857171176323	7
Eligible persistence	Persistent within tissue	CD8_C08_GZMK	0.159862988584218	7
Eligible persistence	Persistent within tissue	CD8_C09_LAYN	0.0489496528846817	7
Eligible persistence	Persistent within tissue	CD8_C10_SLC4A10	0.0418147724538199	7
Eligible persistence	Persistent within tissue	CD8_C11_MKI67	0.00474740881389675	7
Later observation	Later observed	CD4_C01_CCR7	0.0344257148686882	7
Later observation	Later observed	CD4_C02_IL7R	0.0262293754855044	7
Later observation	Later observed	CD4_C03_CD44	0.0183865649952252	7
Later observation	Later observed	CD4_C04_GZMK	0.0114786481413802	7
Later observation	Later observed	CD4_C05_GNLY	0.0465297061625666	7
Later observation	Later observed	CD4_C06_CXCL13	0	7
Later observation	Later observed	CD4_C07_CTLA4	0	7
Later observation	Later observed	CD4_C08_FOXP3	0.00980793475276118	7
Later observation	Later observed	CD4_C09_MKI67	0	7
Later observation	Later observed	CD8_C01_LEF1	0.0032736941974972	7
Later observation	Later observed	CD8_C02_GPR183	0.0119811666800126	7
Later observation	Later observed	CD8_C03_CX3CR1	0.622057038669049	7
Later observation	Later observed	CD8_C04_GIMAP4	0.0433068180322799	7
Later observation	Later observed	CD8_C05_CCR7	0.00572615310864324	7
Later observation	Later observed	CD8_C06_IKZF2	0.0804315274013549	7
Later observation	Later observed	CD8_C07_KIR2DL4	0.000211327134404057	7
Later observation	Later observed	CD8_C08_GZMK	0.0532751392020651	7
Later observation	Later observed	CD8_C09_LAYN	0.000490918016691213	7
Later observation	Later observed	CD8_C10_SLC4A10	0.0321769460174733	7
Later observation	Later observed	CD8_C11_MKI67	0.000211327134404057	7
Later observation	Not observed later	CD4_C01_CCR7	0.341524818222736	7
Later observation	Not observed later	CD4_C02_IL7R	0.148281852473416	7
Later observation	Not observed later	CD4_C03_CD44	0.0770286788720447	7
Later observation	Not observed later	CD4_C04_GZMK	0.0602926689541855	7
Later observation	Not observed later	CD4_C05_GNLY	0.00281720019197397	7
Later observation	Not observed later	CD4_C06_CXCL13	0.00071995030800104	7
Later observation	Not observed later	CD4_C07_CTLA4	0.000570320334206706	7
Later observation	Not observed later	CD4_C08_FOXP3	0.057556188804055	7
Later observation	Not observed later	CD4_C09_MKI67	0.00204412147385684	7
Later observation	Not observed later	CD8_C01_LEF1	0.213374078983129	7
Later observation	Not observed later	CD8_C02_GPR183	0.0146580817313633	7
Later observation	Not observed later	CD8_C03_CX3CR1	0.014629434889091	7
Later observation	Not observed later	CD8_C04_GIMAP4	0.0102970143580083	7
Later observation	Not observed later	CD8_C05_CCR7	0.00953926315317275	7
Later observation	Not observed later	CD8_C06_IKZF2	0.000615680794031694	7
Later observation	Not observed later	CD8_C07_KIR2DL4	0.000285160167103354	7
Later observation	Not observed later	CD8_C08_GZMK	0.0264676227896195	7
Later observation	Not observed later	CD8_C09_LAYN	0.00142086599654425	7
Later observation	Not observed later	CD8_C10_SLC4A10	0.0172985651763723	7
Later observation	Not observed later	CD8_C11_MKI67	0.000578432327088797	7
