cohort	n	n_R	n_NR	program_n	AF35_g	random_q025	random_q25	random_median_g	random_q75	random_q975	AF35_percentile	n_random_ge_AF35	fraction_random_ge_AF35	n_random_positive	fraction_random_positive
ERP117672	35	6	29	2000	0.869215645771505	-0.3773879769597827	-0.0006414411783861749	0.191721567572471	0.3659550850298763	0.6949613189445906	99.75	5	0.0025	1497	0.7485
GSE302495	38	12	26	2000	0.751586410140703	-0.21532985399349447	-0.0042519668923841755	0.112299312817828	0.22382704121818026	0.42355237631981757	100.0	0	0.0	1487	0.7435
