TCR_activation_UCell	cytotoxicity_UCell	exhaustion_UCell	Treg_UCell
0.505118768819003	0.678075894349716	0.402787068004459	0.0997899159663865
0.402208096353295	0.587679705784019	0.32876254180602	0.123663101604278
0.619036467045835	0.547183216315614	0.0897064288368636	0
0.368919371027099	0	0.169007803790412	0.124952253628724
0.488190030110405	0.436183550651956	0.438498699368265	0.278313598166539
0.398862495817999	0	0.107246376811594	0.195855614973262
0.31763131482101	0.625961216984286	0.5041248606466	0.286430481283422
0.547172967547675	0	0.221813452248235	0.533804430863254
0.332686517229843	0.0836258776328987	0.0295057599405425	0.0379106187929718
0.545968551354968	0.563231360748913	0.326793013749536	0.155891902215432
0.416995650719304	0	0.134522482348569	0.219251336898396
0.277149548343928	0.690906051487797	0.213563730955035	0.00754392666157377
0.197390431582469	0.255224005349381	0.324043106651802	0.20459320091673
0.430411508865841	0.349339685723838	0.404756596060944	0.152549656226127
0.226965540314486	0	0.262356001486436	0.638225744843392
0.430210772833724	0.640170511534604	0.304347826086957	0.0712853323147441
0.369789227166276	0.0328067535941157	0.15042735042735	0.259597020626432
0.455035128805621	0.348629220996322	0.442697881828317	0.127244079449962
0.491502174640348	0.480859244399866	0	0
0.45061893609903	0	0.201040505388332	0.733193277310924
0.375644028103045	0.356360748913407	0.18379784466741	0
0.362964202074272	0.357907054496824	0.173132664437012	0.148300229182582
0.595282703245233	0.436267134737546	0.418877740616871	0.151976699770817
0.27129474740716	0.00551654964894688	0.311742846525455	0.448624904507257
0.602074272331884	0	0.273913043478261	0.387557295645531
0.26463700234192	0.467067870277499	0.0470085470085471	0.0603991596638656
0.516895282703245	0.456828819792712	0.086845039018952	0
0.539411174305788	0.344575392845202	0.0518394648829431	0
0.517464034794246	0.369901370779004	0.092196209587514	0.118458747135218
0.474907995985279	0	0.418171683389075	0.522106569900687
0.469822683171629	0.45177198261451	0.0483091787439613	0
0.44938106390097	0.224256101638248	0.744555927164623	0.368506493506494
0.399464703914353	0	0.136714975845411	0.367217341482047
0.380996988959518	0	0.114938684503902	0.276021772345302
0.673603211776514	0.638833166165162	0.425938312894835	0.159329640947288
0.308732017397123	0.473085924439987	0.171571906354515	0.128533231474408
0.231549013047842	0.333082581076563	0	0
0.568283706925393	0.0801571380809094	0.53125232255667	0.516520244461421
0.394647039143526	0.123244734202608	0.0928279450018581	0.119270435446906
