major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD8	CD8_C01_LEF1	10	-0.0932654325100055	0.82610345	4.7123237
CD8	CD8_C01_LEF1	10	-0.332653370656855	-0.34984162	3.2522357
CD8	CD8_C01_LEF1	10	-0.319094815488187	-0.07923144	3.571958
CD4	CD4_C01_CCR7	1	0.163594451277087	-1.6723777	-2.586983
CD4	CD4_C03_CD44	3	0.00956294781090295	0.14537586	0.27937195
CD8	CD8_C01_LEF1	10	-0.300806282933862	-0.12788884	2.3096027
CD8	CD8_C01_LEF1	10	-0.0175325654991683	-0.13698912	5.2876787
CD4	CD4_C01_CCR7	1	-0.0867714603563617	1.1787534	1.8296118
CD8	CD8_C01_LEF1	10	-0.306862132597912	-0.39379984	2.6380885
CD4	CD4_C03_CD44	3	-0.230072291505775	1.5680941	-0.105638355
CD8	CD8_C01_LEF1	10	-0.0854724545880289	0.51250887	4.718847
CD8	CD8_C01_LEF1	10	-0.236765073888498	-0.08041044	4.708164
CD8	CD8_C01_LEF1	10	-0.0476527507798848	-0.6353752	2.924598
CD4	CD4_C03_CD44	3	-0.0282708998616701	1.523768	-0.58897537
CD8	CD8_C01_LEF1	10	-0.318526345660988	-0.44142517	3.4558737
CD8	CD8_C03_CX3CR1	12	0.233985675672724	6.592393	2.1051445
CD8	CD8_C01_LEF1	10	-0.279518272371196	-0.8975284	2.917657
CD8	CD8_C01_LEF1	10	-0.149890994169782	-0.20876095	3.389765
CD8	CD8_C01_LEF1	10	-0.324624886883514	0.35811204	3.074051
CD8	CD8_C01_LEF1	10	-0.163106080867307	-0.138127	2.3672526
CD8	CD8_C01_LEF1	10	-0.0602785681325981	0.23745295	5.6060677
CD4	CD4_C01_CCR7	1	-0.313225881707854	-2.3789248	-2.2374043
CD4	CD4_C01_CCR7	1	-0.00991724344776416	-1.4636517	-0.041148834
CD4	CD4_C08_FOXP3	8	0.18366554523847	-3.9456568	2.8647008
CD4	CD4_C03_CD44	3	0.0451782153294862	0.9711052	1.8187622
