dataset	n	n_R	n_NR	g_PTPN22	g_AF35	delta_g	delta_ci_low	delta_ci_high	bootstrap_positive_fraction	bootstrap_draws	valid_draws	seed	loo_delta_min	loo_delta_max	loo_positive_fraction	g_PTPN22_ci_low	g_PTPN22_ci_high	g_AF35_ci_low	g_AF35_ci_high
ERP117672	35	6	29	0.625556165634855	0.869215645771505	0.243659480136651	-0.27617979263498	0.830633982883203	0.83705	20000	20000	2026090801	0.13312208881058	0.503036501352029	1	-0.195261737647879	1.6781038409525	-0.101291050266582	2.19872197491393
GSE302495	38	12	26	0.47047660557901	0.751586410140703	0.281109804561694	-0.0215989042153338	0.695906294303616	0.96545	20000	20000	2026090802	0.181606403049626	0.345973249062859	1	-0.0736200413699295	1.01895492347598	0.185487398724862	1.45246248241561
