cohort	n	full_g	residual_g	delta_g	retained_fraction	refit_intercept	refit_broad_immune_beta	residual_model_refit
ERP117672	34	0.863375776803157	0.9556321829857533	0.09225640618259623	1.106855448880204	0.0876747728720151	1.1077688534942518	True
ERP117672	34	0.6734137409594262	1.4150723567606736	0.7416586158012474	2.1013416725720377	0.0750612395731567	1.112144303714532	True
ERP117672	34	0.8401316480674031	0.987472700106436	0.1473410520390328	1.175378528327041	0.0743408537487149	1.075008053586442	True
ERP117672	34	0.7239524398567182	0.7690843716476478	0.04513193179092956	1.0623410175948325	0.0364602185934503	1.0617616993147094	True
ERP117672	34	0.8345297289151953	0.9942682758541791	0.15973854693898382	1.1914114517485528	0.0786972835435124	1.0684348026199946	True
ERP117672	34	0.8802090192804777	1.0089919986666434	0.12878297938616567	1.1463095430349473	0.062381431957853	1.079256192645332	True
ERP117672	34	1.0280833695537805	1.1629746576733646	0.13489128811958406	1.1312065656485923	0.0451941425996926	1.042840420217531	True
ERP117672	34	0.9475706744809562	0.9389837953711417	-0.008586879109814483	0.9909380066932548	0.0763302743222663	1.1109517793424246	True
ERP117672	34	0.9531950846687115	1.1104434060229298	0.1572483213542183	1.1649697148919635	0.0485390705902113	1.0612085979821122	True
ERP117672	34	0.9495831775645717	0.9523758065980599	0.002792629033488203	1.0029408998595053	0.0732879741661589	1.1028036098792486	True
ERP117672	34	0.587706564108579	0.7560621217809732	0.16835555767239418	1.2864619317767063	0.0329290670325104	1.0316219595245566	True
ERP117672	34	0.854029366471769	0.976149269694096	0.12211990322232702	1.1429926276737274	0.0755051119604979	1.0833777570873286	True
ERP117672	34	0.8337338637191378	1.002916388966834	0.16918252524769617	1.2029214988257801	0.0734629182198239	1.062931224184546	True
ERP117672	34	0.8415119691801277	0.9825561290977347	0.141044159917607	1.167608025890617	0.0824422512760853	1.0801685875195572	True
ERP117672	34	0.8677119479105327	1.0264558875316763	0.15874393962114353	1.182945434833993	0.0581057052815959	1.0796697548546357	True
ERP117672	34	0.8601939403218126	1.0015404520569715	0.1413465117351589	1.1643193530080889	0.0644014930425315	1.0796758515633051	True
ERP117672	34	0.839447000054734	0.996520073195267	0.15707307314053298	1.1871149377272079	0.0678072013194247	1.076171105779349	True
ERP117672	34	0.8646214453703983	1.0039302741802503	0.13930882880985196	1.1611211814786446	0.0636567628659525	1.07970921638895	True
ERP117672	34	0.8456992700449102	0.9896758686994526	0.14397659865454238	1.1702456224739282	0.0702060878932572	1.0776257296644252	True
ERP117672	34	0.8331973643120865	1.0000188994785941	0.16682153516650766	1.2002185104176857	0.0687273648536756	1.071666671425823	True
ERP117672	34	0.8535792052179068	0.979325530084677	0.1257463248667703	1.1473165279778215	0.0738055353063126	1.0818855947724864	True
ERP117672	34	0.8407991649381596	1.0265880751108536	0.18578891017269394	1.220967048874696	0.0558977951508197	1.0878771539625316	True
ERP117672	34	0.9639783930834888	1.0411508326586956	0.07717243957520681	1.0800561922641798	0.0557257971027173	1.0801667042526255	True
ERP117672	34	0.8482892258790898	1.0699634373960833	0.2216742115169935	1.2613191406354012	0.0472123552424337	1.0974711516198774	True
ERP117672	34	0.8383485290903738	1.0189472145792329	0.18059868548885905	1.2154219626111977	0.057934111687894	1.0859470934882325	True
