cohort	dropout_fraction	removed_gene_n	draw_n	rng_seed	rho_median	rho_5th_percentile	rho_minimum	median_rank_displacement_median	max_rank_displacement_95th_percentile	max_rank_displacement_worst	outcome_loaded
ERP117672	0.1	4	1000	20360930	0.9958724202626642	0.993048780487805	0.9887429643527205	0	0.1282051282051282	0.15384615384615385	NO
ERP117672	0.2	7	1000	20361030	0.9934333958724205	0.9891088180112572	0.9797373358348969	0.02564102564102564	0.15384615384615385	0.2564102564102564	NO
ERP117672	0.3	11	1000	20361130	0.9898686679174485	0.9827298311444653	0.9729831144465293	0.02564102564102564	0.20512820512820512	0.28205128205128205	NO
GSE302495	0.1	4	1000	20460930	0.9938724149250465	0.9899332530911478	0.9840245103402997	0.02702702702702703	0.13513513513513514	0.1891891891891892	NO
GSE302495	0.2	7	1000	20461030	0.9908086223875697	0.9855564066090382	0.9752708173760806	0.02702702702702703	0.16216216216216217	0.24324324324324326	NO
GSE302495	0.3	11	1000	20461130	0.9862129335813546	0.9765838713207133	0.9560126928547981	0.02702702702702703	0.1891891891891892	0.2702702702702703	NO
GSE104580	0.1	4	1000	20560930	0.995651648293527	0.9928027412371835	0.9892443463872036	0.0136986301369863	0.2054794520547945	0.3150684931506849	NO
GSE104580	0.2	7	1000	20561030	0.9920362073003952	0.9870322027367037	0.9813561114930976	0.02054794520547945	0.2602739726027397	0.410958904109589	NO
GSE104580	0.3	11	1000	20561130	0.9858820240424937	0.9777484151750296	0.9632940180885388	0.0273972602739726	0.3082191780821918	0.4315068493150685	NO
