cohort	n	responders	nonresponders	full_AF35_g	residual_AF35_g	delta_g	retained_fraction	reference_full_g	reference_abs_error
ERP117672	35	6	29	0.8692156457715055	1.0155182013933803	0.14630255562187489	1.1683156030768618	0.869215645771506	5.551115123125783e-16
GSE302495	38	12	26	0.7515864101407033	0.38696280370597175	-0.3646236064347315	0.514861363224395	0.751586410140704	7.771561172376096e-16
